ticker,reason,count,timestamp
TSTE,LOW_VOLATILITY,1,2026-01-05 16:29:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:29:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:29:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:30:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:30:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:30:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:31:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:31:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:31:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:32:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:32:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:32:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:33:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:33:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:33:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:34:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:34:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:34:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:35:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:35:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:35:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:36:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:36:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:36:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:37:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:37:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:37:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:38:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:38:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:38:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:39:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:39:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:39:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:40:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:40:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:40:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:41:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:41:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:41:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:42:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:42:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:42:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:43:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:43:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:43:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:44:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:44:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:44:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:45:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:45:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:45:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:46:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:46:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:46:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:47:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:47:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:47:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:48:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:48:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:48:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:49:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:49:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:49:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:50:00+00:00
TSTL,LOW_VOLATILITY,1,2026-01-05 16:50:00+00:00
TSTW,LOW_VOLATILITY,1,2026-01-05 16:50:00+00:00
TSTE,LOW_VOLATILITY,1,2026-01-05 16:51:00+00:00
