family,hypothesis,direction,threshold_band,horizon_label,symbol,decision_day,mfe_R,mae_R,trading_day
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMAT,2026-06-15,2.198445926155647,10.470184869316514,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMAT,2026-06-17,8.359616374871274,7.688594232749738,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMAT,2026-06-18,9.059116604388237,6.866596403819744,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMAT,2026-06-22,1.8949508174128753,22.136470912504954,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMAT,2026-06-25,9.781547000728699,14.679297353447332,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMAT,2026-06-26,8.526425000785993,16.27471940138963,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMAT,2026-06-29,24.354121863799282,6.04587813620071,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMAT,2026-06-30,21.061332575309876,3.796351014729094,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMAT,2026-07-10,11.819384546657268,5.570351024896472,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMAT,2026-07-14,15.865573770491798,0.28196721311475853,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMAT,2026-07-22,20.517701492809202,5.013980854881455,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMAT,2026-07-23,21.553010553567905,1.1848043005339564,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMAT,2026-07-31,1.6620332406648137,10.818216364327293,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMAT,2026-08-03,6.339344622828233,1.7740634850817505,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMAT,2026-08-04,6.122561446048713,2.009625629156114,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-05-20,2.337474260629508,19.2948883307311,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-05-21,1.730376298314319,12.208390090243485,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-05-22,0.9426567656765663,8.745853960396028,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-05-26,4.253502006767917,3.722338081372469,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-05-27,2.4312027739362225,9.522377888681788,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-05-28,6.528417818740389,4.923195084485427,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-06-12,5.319645356976202,5.084442370508639,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-06-15,7.389675650982183,2.876180904522619,
FAMILY_B_MULTIDAY,REVERSAL,SHORT,loose,5D,AMD,2026-06-16,4.951579106337194,6.278651388443173,
