family,hypothesis,direction,threshold_band,horizon_label,cost_bps,expectancy_pct,total_return_pct,profit_factor,win_rate
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,0.0,0.0754215480771193,4.751557528858516,1.1429996559195044,0.5396825396825397
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,5.0,0.025421548077119292,1.6015575288585153,1.0461706716632775,0.5238095238095238
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,10.0,-0.024578451922880742,-1.5484424711414868,0.9572691843994471,0.49206349206349204
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,15.0,-0.07457845192288069,-4.698442471141484,0.8760706992026907,0.4444444444444444
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,20.0,-0.12457845192288078,-7.848442471141489,0.8021182271680962,0.4444444444444444
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,0.0,0.04794432847764495,3.020492694091632,1.0546330415310963,0.47619047619047616
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,5.0,-0.0020556715223550444,-0.1295073059083678,0.9977254248764302,0.47619047619047616
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,10.0,-0.05205567152235509,-3.2795073059083704,0.9440232187337638,0.47619047619047616
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,15.0,-0.10205567152235506,-6.429507305908369,0.8933148667251183,0.4603174603174603
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,20.0,-0.15205567152235516,-9.579507305908376,0.8454284354500824,0.4444444444444444
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,0.0,0.27033488207203893,6.758372051800974,1.7482696804016074,0.56
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,5.0,0.22033488207203902,5.5083720518009756,1.574866606401725,0.56
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,10.0,0.17033488207203898,4.258372051800975,1.4182513383156101,0.48
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,15.0,0.12033488207203899,3.0083720518009747,1.2765620454972189,0.44
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,20.0,0.07033488207203896,1.758372051800974,1.15187514477421,0.44
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,0.0,0.1172271313455753,2.9306782836393825,1.150572533988145,0.52
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,5.0,0.06722713134557529,1.680678283639382,1.0837676800772025,0.52
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,10.0,0.01722713134557534,0.43067828363938343,1.0208423999561118,0.52
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,15.0,-0.03277286865442475,-0.8193217163606187,0.9614682805453708,0.52
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,20.0,-0.0827728686544247,-2.0693217163606175,0.9053529592172354,0.52
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,0.0,-0.4491585831338829,-21.55961199042638,0.5390215649779594,0.3541666666666667
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,5.0,-0.4991585831338828,-23.959611990426374,0.5041393243738065,0.3541666666666667
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,10.0,-0.5491585831338829,-26.359611990426377,0.47142545331984975,0.3541666666666667
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,15.0,-0.5991585831338829,-28.75961199042638,0.44068385949707384,0.3541666666666667
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,20.0,-0.6491585831338829,-31.159611990426377,0.4117414030081266,0.3541666666666667
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,0.0,-0.3600760304803259,-17.283649463055642,0.7022979186708849,0.4791666666666667
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,5.0,-0.41007603048032576,-19.683649463055637,0.6681050405300699,0.4791666666666667
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,10.0,-0.4600760304803258,-22.08364946305564,0.6354598156515344,0.4583333333333333
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,15.0,-0.5100760304803259,-24.48364946305564,0.6043332092767059,0.4583333333333333
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,20.0,-0.560076030480326,-26.883649463055644,0.574496502887253,0.4375
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,0.0,-0.24789852537409035,-6.197463134352259,0.7489124177212453,0.44
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,5.0,-0.29789852537409045,-7.447463134352262,0.706590356334088,0.44
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,10.0,-0.3478985253740905,-8.697463134352262,0.6665399691065657,0.44
