family,hypothesis,direction,threshold_band,horizon_label,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share,bootstrap_ci_low_by_symbol,bootstrap_ci_high_by_symbol,bootstrap_ci_low_by_day,bootstrap_ci_high_by_day
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,120m,63,30,44,0.0754215480771193,-0.024578451922880742,0.9572691843994471,0.7542154807711929,by_day,0.155325868784852,0.4318718574981957,0.21439341018710661,-0.3402100998083042,0.4736467309065151,-0.40595213036197936,0.5300158789918263
FAMILY_A_CATALYST,CONTINUATION,LONG,loose,EOD,63,30,44,0.04794432847764495,-0.05205567152235509,0.9440232187337638,0.4794432847764495,by_day,0.24752466192491585,0.523097876917798,0.171485220829245,-0.7346041557711536,0.7900469370518098,-0.7587455549169267,0.7488786175124711
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,120m,25,17,23,0.27033488207203893,0.17033488207203898,1.4182513383156101,2.703348820720389,by_day,0.2796231632758816,0.5915801386638043,0.2796231632758816,-0.23284453096624225,0.8616975104300383,-0.23353044000229461,0.8779587291493969
FAMILY_A_CATALYST,CONTINUATION,LONG,tight,EOD,25,17,23,0.1172271313455753,0.01722713134557534,1.0208423999561118,1.172271313455753,by_day,0.3229934032604642,0.6867276468661527,0.3229934032604642,-0.7949211780675306,1.154973097406515,-0.8606411251037975,1.1339279165894196
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,120m,48,26,30,-0.4491585831338829,-0.5491585831338829,0.47142545331984975,4.491585831338829,by_symbol,0.18252943623613757,0.4625811434572281,0.15711810829182532,-1.1070421601034162,0.03202983605319337,-0.9631137678013473,0.26573388041942214
FAMILY_A_CATALYST,CONTINUATION,SHORT,loose,EOD,48,26,30,-0.3600760304803259,-0.4600760304803258,0.6354598156515344,3.600760304803259,by_symbol,0.20883864231282656,0.5117823148487575,0.15180928845884448,-1.247624580958863,0.3147381444926061,-1.035947126624045,0.4343417271534849
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,120m,25,17,19,-0.24789852537409035,-0.3478985253740905,0.6665399691065657,2.478985253740903,by_day,0.2142757208112595,0.5267691293923571,0.2142757208112595,-1.0122009765964053,0.32987056245508795,-1.1014920748410324,0.6016820974214331
FAMILY_A_CATALYST,CONTINUATION,SHORT,tight,EOD,25,17,19,-0.6515255191938202,-0.7515255191938204,0.5605046512269837,6.515255191938201,by_day,0.24797490629796934,0.5684561011720594,0.24797490629796934,-1.755800224739966,0.09168045163599092,-1.8057758588887052,0.48274954553273103
FAMILY_A_CATALYST,REVERSAL,LONG,loose,120m,48,26,30,0.4491585831338829,0.3491585831338828,1.62123352598108,4.491585831338829,by_day,0.22367166726101698,0.47246125125992994,0.24340868311132624,-0.032029836053193435,1.1070421601034157,-0.26573388041942214,0.9631137678013466
FAMILY_A_CATALYST,REVERSAL,LONG,loose,EOD,48,26,30,0.3600760304803259,0.2600760304803258,1.2897794361880772,3.600760304803259,by_day,0.2164712049242878,0.4512000240029313,0.17885568213813083,-0.3147381444926064,1.2476245809588629,-0.43434172715348535,1.0359471266240448
FAMILY_A_CATALYST,REVERSAL,LONG,tight,120m,25,17,19,0.24789852537409035,0.14789852537409034,1.188790440258634,2.478985253740903,by_day,0.27635032516487573,0.5549742788839808,0.27635032516487573,-0.32987056245508795,1.0122009765964053,-0.6016820974214331,1.1014920748410324
FAMILY_A_CATALYST,REVERSAL,LONG,tight,EOD,25,17,19,0.6515255191938202,0.5515255191938202,1.531105443004335,6.515255191938201,by_day,0.19766269685598692,0.41259057343622585,0.19766269685598692,-0.09168045163599099,1.7558002247399658,-0.48274954553273114,1.8057758588887043
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,120m,63,30,44,-0.0754215480771193,-0.17542154807711932,0.7329207070084481,0.7542154807711929,by_day,0.1540480305926306,0.38948453673878003,0.19543253574637232,-0.47364673090651543,0.3402100998083042,-0.5300158789918269,0.4059521303619791
FAMILY_A_CATALYST,REVERSAL,SHORT,loose,EOD,63,30,44,-0.04794432847764495,-0.14794432847764488,0.8483872400058544,0.4794432847764495,by_symbol,0.17404501318166019,0.38143335762304026,0.22380909524907078,-0.79004693705181,0.7346041557711535,-0.7488786175124714,0.7587455549169266
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,120m,25,17,23,-0.27033488207203893,-0.370334882072039,0.4614210902990275,2.703348820720389,by_day,0.2840835224305217,0.7458732556507759,0.24259053107229064,-0.8616975104300384,0.23284453096624194,-0.8779587291493969,0.23353044000229442
FAMILY_A_CATALYST,REVERSAL,SHORT,tight,EOD,25,17,23,-0.1172271313455753,-0.21722713134557523,0.7716693995544555,1.172271313455753,by_symbol,0.25553157897240014,0.693398828885661,0.25553157897240014,-1.1549730974065164,0.7949211780675304,-1.1339279165894205,0.8606411251037973
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,2D,1032,35,129,-0.18195539398343832,-0.2819553939834383,0.8293907828226339,1.8195539398343832,by_day,0.11543002855031297,0.25216602389774245,0.04514876642931913,-0.5251889656874801,0.09598900619356929,-0.6358400870246287,0.23150940179841364
FAMILY_B_MULTIDAY,MOMENTUM,LONG,loose,3D,1000,35,125,-0.6070373392207478,-0.7070373392207477,0.6893576704507712,6.070373392207477,by_symbol,0.1170995210083417,0.25541848676409484,0.0397723034534325,-1.2709696249914209,-0.06847836127667277,-1.201483098898035,-0.034016267863866266
