family,hypothesis,direction,threshold_band,horizon_label,regime_slice,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share,bootstrap_ci_low_by_symbol,bootstrap_ci_high_by_symbol,bootstrap_ci_low_by_day,bootstrap_ci_high_by_day,insufficient_n_for_bootstrap
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,5D,2025_q4_task46_56_era,63,22,21,0.10434059430856188,0.004340594308561859,1.002030515828797,1.0434059430856186,by_day,0.14540412762406346,0.4130291810162917,0.1669306698187835,-1.5703207845285367,1.5330457874397516,-1.8233320757663767,1.8731411196691092,
FAMILY_B_MULTIDAY,MOMENTUM,SHORT,tight,5D,2026_q3_f6_era,165,33,55,-1.239295880301983,-1.339295880301983,0.6361884763584703,12.392958803019829,by_symbol,0.15207392546486473,0.3333272146485522,0.12941005624528495,-2.806076186926679,0.23434002705305307,-2.6354051279274393,0.2746536416085567,
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,2D,2025_q1_orpb_era,168,33,24,-1.0985797601453116,-1.1985797601453116,0.4349110531261176,10.985797601453115,by_day,0.152404689839797,0.3186435093661345,0.1636607211997114,-1.6748791175382374,-0.48122161083103715,-2.2120670155684308,-0.05895279984238536,
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,2D,2025_q3_fprc_era,161,35,23,0.7945537460735502,0.6945537460735502,2.0444765194326666,7.945537460735502,by_day,0.16700100401272455,0.3424947886490406,0.1321324902209554,0.3299595550062496,1.3067556349295089,0.18556555047851067,1.4209064479057798,
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,2D,2025_q4_task46_56_era,168,33,24,0.09059808589408916,-0.009401914105910705,0.9926948293143686,0.9059808589408915,by_day,0.15149406595537376,0.3519901155304582,0.1230455997813802,-0.35136623420879226,0.6826862026559272,-0.8545902662028332,1.0164961768328438,
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,2D,2026_q3_f6_era,406,34,58,-0.12212660983390497,-0.22212660983390492,0.8809893815155205,1.2212660983390495,by_day,0.12227911222883175,0.2446506466827251,0.06902418034765041,-0.48232717092468513,0.2694433841746273,-0.8711392456583965,0.6511070917212384,
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,3D,2025_q1_orpb_era,161,33,23,-1.5338016094890499,-1.63380160948905,0.3647840520620306,15.338016094890499,by_day,0.13673970767691287,0.33133356120151425,0.2013900418288398,-2.2930150573667727,-0.6004258256546647,-2.603263440841394,-0.40111448251178655,
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,3D,2025_q3_fprc_era,154,35,22,1.1997991513031117,1.0997991513031118,2.529961526465665,11.997991513031115,by_symbol,0.14199194685182875,0.30027550950010207,0.09944780398660223,0.6209772306915426,1.8734329840150483,0.6235160812442898,1.8157002812445457,
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,3D,2025_q4_task46_56_era,161,33,23,0.059862296555599805,-0.04013770344440016,0.9724257365716866,0.598622965555998,by_day,0.15192159974518496,0.34724878185949476,0.14147922076693015,-0.4967770106017966,0.751916308397791,-1.0470214595036407,1.0827839091918021,
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,3D,2026_q3_f6_era,399,34,57,0.42014369710184163,0.32014369710184165,1.1593294880880038,4.201436971018416,by_day,0.1474184950669936,0.2776750810914493,0.0872524712048706,-0.304383280934047,1.18398051895024,-0.4896492393083101,1.3297435122580894,
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,5D,2025_q1_orpb_era,147,31,21,-2.0416122972032746,-2.1416122972032743,0.3617681390733431,20.416122972032746,by_day,0.1044720553583098,0.2966100011680197,0.19730811268490356,-3.212040203322612,-0.6875396625697504,-3.4220652761829027,-0.6231266739322543,
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,5D,2025_q3_fprc_era,140,35,20,1.6983838324836205,1.5983838324836206,3.2316392659069275,16.983838324836203,by_day,0.09866405658898317,0.2586645213466301,0.10914833518264747,1.0132079128308924,2.428397664626446,1.0018306488481228,2.3906652308712193,
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,5D,2025_q4_task46_56_era,147,33,21,0.0480170234868524,-0.05198297651314752,0.9747174878952816,0.48017023486852395,by_day,0.1304598493950745,0.3245050508332394,0.19051642170854136,-0.7072726897113045,0.9451791939229774,-1.4024525452233254,1.5640650961411169,
FAMILY_B_MULTIDAY,REVERSAL,LONG,loose,5D,2026_q3_f6_era,385,34,55,0.8984976138679155,0.7984976138679157,1.345307440208676,8.984976138679155,by_day,0.14144093197773552,0.29612413330651344,0.07749229099587504,-0.04902887428435826,1.8764642607160091,-0.13503330244804038,1.9189538079642035,
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,2D,2025_q1_orpb_era,72,25,24,-0.8026732351478635,-0.9026732351478635,0.543055566426722,8.026732351478634,by_day,0.2979913245070038,0.5052262147427975,0.2437192095511489,-1.4904201376854607,-0.13767191307664342,-1.986461611070752,0.41584811301512425,
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,2D,2025_q3_fprc_era,69,22,23,0.862936537605627,0.7629365376056272,1.9840547266750368,8.62936537605627,by_symbol,0.3258954913510191,0.5664521486875961,0.15246325225929644,-0.07545139378260506,1.6954017546378304,0.06825156334925733,1.6723255536180994,
FAMILY_B_MULTIDAY,REVERSAL,LONG,tight,2D,2025_q4_task46_56_era,72,25,24,-0.046245961292119914,-0.14624596129211984,0.9076339215778313,0.46245961292119914,by_day,0.20463241010579453,0.5127397022208844,0.15244704079680257,-0.7243181760446724,0.7432691393130001,-1.430168703564083,1.2276468065215873,
