exit_reason,family,N,gross_total_R,gross_expectancy,gross_PF,net_total_R_5bps,net_expectancy_5bps,net_PF_5bps,win_rate,mean_cost_R,median_cost_R,RSI_N,MACD_N,MA_N
END_OF_SESSION,MACD,31,43.42148345086967,1.400693014544183,20.366341149458833,35.45352105977597,1.1436619696701926,13.118894161040094,0.7741935483870968,0.25703104487399037,0.11466998060135788,0,31,0
END_OF_SESSION,RSI,27,50.01810900087682,1.8525225555880303,32.00985734538324,43.9805569493301,1.6289095166418557,18.817906458332462,0.7037037037037037,0.22361303894617482,0.11912236842105227,27,0,0
SIGNAL_EXIT,MACD,18,18.436798416448262,1.0242665786915701,34.306799680510196,16.21191221040309,0.9006617894668383,18.64596378005775,0.8333333333333334,0.12360478922473199,0.08366477610183651,0,18,0
SIGNAL_EXIT,RSI,16,42.48303831091687,2.6551898944323042,156.47611937398074,39.246956824811214,2.452934801550701,113.12382836320559,0.9375,0.2022550928816034,0.16139137522722102,16,0,0
STOP,MACD,78,-78.0,-1.0,0.0,-132.4230671170576,-1.6977316297058667,0.0,0.0,0.6977316297058667,0.4280603569772963,0,78,0
STOP,RSI,57,-57.0,-1.0,0.0,-77.92543437362015,-1.367112883747722,0.0,0.0,0.36711288374772194,0.3044032022055948,57,0,0
TARGET,MACD,1,1.6163522012578773,1.6163522012578773,inf,1.5542075471698265,1.5542075471698265,inf,1.0,0.06214465408805074,0.06214465408805074,0,1,0
