scope,task,family,N,risk_pct_entry_mean,risk_pct_entry_median,risk_pct_entry_p10,risk_pct_entry_p25,risk_pct_entry_p50,risk_pct_entry_p75,risk_pct_entry_p90,risk_pct_entry_min,risk_pct_entry_max,cost_R_5bps_mean,cost_R_5bps_median,cost_R_5bps_p10,cost_R_5bps_p25,cost_R_5bps_p50,cost_R_5bps_p75,cost_R_5bps_p90,cost_R_5bps_min,cost_R_5bps_max
ALL,ALL,ALL,228,0.6891531779475484,0.39767683050138447,0.12378846156100667,0.2057609976691704,0.39767683050138447,0.8709688827788703,1.6585245601427707,0.006701664246577055,6.168933296327125,0.4161277556120923,0.2517100109713939,0.06057644895173146,0.11445417867811015,0.2517100109713939,0.4855051978189999,0.8075503219398296,0.0162905668866227,14.921166666765059
FAMILY,ALL,MACD,128,0.6376412083594102,0.3378371314473054,0.11749562033354143,0.19227561255875023,0.3378371314473054,0.9063607988546211,1.456373600441528,0.006701664246577055,4.7149798124957085,0.5052973466272229,0.29559030866212044,0.06921497096654503,0.10994238322476468,0.29559030866212044,0.5197270562286482,0.8508250470827043,0.02126124818577655,14.921166666765059
FAMILY,ALL,RSI,100,0.7550884990203651,0.4655480617893889,0.1452669724014263,0.23875645556643388,0.4655480617893889,0.8408313738382706,1.8627457508165066,0.07575163910871845,6.168933296327125,0.30199067911272515,0.2153834169072832,0.05357158486739507,0.11864625529891505,0.2153834169072832,0.41834464417807515,0.6881461006040465,0.0162905668866227,1.3196034482762864
TASK,Task53,ALL,34,0.7795063390330688,0.47600844593518277,0.11825490642745352,0.1998500786651272,0.47600844593518277,1.0821357144941257,1.4526524801726322,0.08252026600645959,6.168933296327125,0.34501511167814625,0.20961003001597947,0.06927280637975024,0.09213210589862572,0.20961003001597947,0.49997118311648026,0.8504066303651404,0.0162905668866227,1.2113235294124247
TASK,Task54,ALL,89,0.5307686153451093,0.3348311241586774,0.14361614769430872,0.19537981297132034,0.3348311241586774,0.6847241989592013,1.1089988453315636,0.006701664246577055,3.6951152500216993,0.5289801612073051,0.3003960649434658,0.08981080076351215,0.1455442031287964,0.3003960649434658,0.5113236038780471,0.6967404226267212,0.027332388898454924,14.921166666765059
TASK,Task56,ALL,105,0.7941457359923996,0.42077245791790524,0.13128836434304766,0.22096126990862047,0.42077245791790524,1.1755952380952404,1.9442037626015372,0.059009343211411366,4.7149798124957085,0.34349885842904687,0.2371581406844611,0.051213951284039695,0.08563502109704625,0.2371581406844611,0.4520679999999794,0.7640232720836909,0.02126124818577655,1.6941468907768111
FAMILY_TASK,Task53,MACD,17,0.7444528032432666,0.9094730341927472,0.11150213994718011,0.19408143648571385,0.9094730341927472,1.2284453069316277,1.4256345827424102,0.08252026600645959,1.542540532004049,0.35697973963335816,0.10989623106800196,0.07021128924782916,0.081682350073136,0.10989623106800196,0.5147476290918266,0.898423672394968,0.0643281182408097,1.2113235294124247
FAMILY_TASK,Task53,RSI,17,0.8145598748228706,0.4134276792239442,0.15329638627107844,0.20468521183188504,0.4134276792239442,0.6796626770825798,1.3222462400951773,0.11699212462405464,6.168933296327125,0.3330504837229343,0.24431649256731242,0.07858619467980439,0.14663181019332316,0.24431649256731242,0.488055079798014,0.6691568999498403,0.0162905668866227,0.8614781879197535
FAMILY_TASK,Task54,MACD,50,0.536559524914209,0.31609587032129643,0.14433006386929115,0.19451581066822232,0.31609587032129643,0.6454534423062952,1.1275427849163517,0.006701664246577055,3.6951152500216993,0.6761778894268774,0.3174282222183441,0.0888533803396916,0.15476015159639078,0.3174282222183441,0.5136003981885893,0.6957116760811981,0.027332388898454924,14.921166666765059
FAMILY_TASK,Task54,RSI,39,0.5233443723078018,0.4477660004980148,0.14361614769430872,0.2358752088116267,0.4477660004980148,0.6866132278664395,0.9570876064795634,0.07575163910871845,1.9879213747452587,0.34026512502836614,0.22512958101031583,0.10550794176055067,0.14514350477417132,0.22512958101031583,0.42354500908553283,0.6967404226267212,0.05082512292633565,1.3196034482762864
FAMILY_TASK,Task56,MACD,61,0.690727881461615,0.35025060059616214,0.11770468704261457,0.17862227547084797,0.35025060059616214,0.9053233870752457,1.7750921733584022,0.059009343211411366,4.7149798124957085,0.40656574300284537,0.2850098601680906,0.056648223764801754,0.10995776727701893,0.2850098601680906,0.5593405895143827,0.849083839968882,0.02126124818577655,1.6941468907768111
FAMILY_TASK,Task56,RSI,44,0.9375204888646235,0.551483244127011,0.20421387324225637,0.2971757195212605,0.551483244127011,1.36267503020743,1.9465316087396707,0.0956696190450193,3.5023855141064737,0.25606522299719003,0.18123748541027757,0.051082907105286963,0.07339559737447002,0.18123748541027757,0.3392995902542849,0.4892008758693225,0.028551968250563057,1.0447639092556953
