stop_risk_bucket,N,gross_total_R,gross_expectancy,gross_PF,net_total_R_5bps,net_expectancy_5bps,net_PF_5bps,win_rate,mean_cost_R,median_cost_R,RSI_N,MACD_N,MA_N
<0.15%,34,24.275651249495716,0.7139897426322269,1.9336788942113736,-23.340879051276936,-0.6864964426846157,0.6504643798174752,0.23529411764705882,1.4004861853168422,0.8621242290948741,11,23,0
0.15-0.25%,41,-25.61447486832433,-0.6247432894713251,0.32593487188620185,-46.212708071290066,-1.1271392212509772,0.19099375712481953,0.07317073170731707,0.5023959317796521,0.49500137371912356,15,26,0
0.25-0.35%,33,5.657255679623054,0.1714319902916077,1.2357189866509606,-5.4547940067264635,-0.1652967880826201,0.8298517465475326,0.2727272727272727,0.3367287783742278,0.33272760737749657,16,17,0
0.35-0.50%,22,6.7712997588526385,0.30778635267511995,1.4514199839235096,1.5489142939824236,0.07040519518101926,1.0833805804253178,0.3181818181818182,0.23738115749410058,0.23114386084738847,12,10,0
0.50-0.75%,31,6.607235608335028,0.21313663252693638,1.372728763846678,1.4490311003583747,0.046742938721237894,1.0695225667024069,0.3870967741935484,0.1663936938056985,0.17218784029038053,17,14,0
>=0.75%,67,3.2788139523873974,0.048937521677423844,1.1729768715839086,-1.8909111642348875,-0.028222554690072947,0.9125927181281887,0.5223880597014925,0.07716007636749678,0.07678747628083643,29,38,0
