group,family,N,gross_expectancy,net_expectancy_5bps,winner_rate,average_winning_R,average_losing_R,STOP_rate,END_OF_SESSION_rate,SIGNAL_EXIT_rate,TARGET_rate,median_stop_risk_pct,mean_cost_R,median_cost_R,median_holding_minutes,share_holding_gt_60m,top1_positive_R_concentration,top3_positive_R_concentration,top5_positive_R_concentration
Task53+54,RSI,56,0.6210448622666375,0.2829698962059916,0.3392857142857143,3.7778164361543,-1.0,0.6607142857142857,0.19642857142857142,0.14285714285714285,0.0,0.4305968398609795,0.33807496606064574,0.23472303678881412,25.5,0.375,0.1872370558714919,0.4417614582076468,0.6080483458375628
Task56,RSI,44,0.016423523292318064,-0.239641699704872,0.3409090909090909,1.507256953462792,-0.7816506884671387,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.0,0.551483244127011,0.25606522299719003,0.18123748541027757,64.5,0.5227272727272727,0.2418411157549848,0.5161291165814909,0.7248754709576508
Task53+54,MACD,67,-0.19802340227519608,-0.7932107163813297,0.31343283582089554,1.4382935312997769,-0.945037654559423,0.6268656716417911,0.26865671641791045,0.08955223880597014,0.014925373134328358,0.33140025926977373,0.5951873141061337,0.3029459459459772,30.0,0.3880597014925373,0.21090085558176389,0.49638432623833323,0.6382585047710314
Task56,MACD,61,-0.020619638999771275,-0.4271853820026167,0.3114754098360656,1.8982171227388307,-0.8886648407386627,0.5901639344262295,0.21311475409836064,0.19672131147540983,0.0,0.35025060059616214,0.40656574300284537,0.2850098601680906,25.0,0.32786885245901637,0.3175098304419676,0.6378826369600816,0.8091311098534781
