task,family,N,observed_mean_gross_expectancy,observed_mean_cost_R_5bps,break_even_gross_expectancy_5bps,margin_at_5bps,implied_max_round_trip_bps_for_zero_mean_net,implied_max_per_side_bps_for_zero_mean_net
Task53,MACD,17,-0.3402456342725744,0.35697973963335816,0.35697973963335816,-0.6972253739059326,-9.531230949465904,-4.765615474732952
Task53,RSI,17,0.3650031605374249,0.3330504837229343,0.3330504837229343,0.0319526768144906,10.959394397429314,5.479697198714657
Task54,MACD,50,-0.14966784339608744,0.6761778894268774,0.6761778894268774,-0.8258457328229648,-2.2134388854824074,-1.1067194427412037
Task54,RSI,39,0.7326527835332174,0.34026512502836614,0.34026512502836614,0.39238765850485124,21.53182120771678,10.76591060385839
Task56,MACD,61,-0.020619638999771275,0.40656574300284537,0.40656574300284537,-0.42718538200261663,-0.5071661681940322,-0.2535830840970161
Task56,RSI,44,0.016423523292318064,0.25606522299719003,0.25606522299719003,-0.23964169970487198,0.6413804694008872,0.3206902347004436
COMBINED,MACD,128,-0.11347942133925143,0.5052973466272229,0.5052973466272229,-0.6187767679664744,-2.2457949185110118,-1.1228974592555059
COMBINED,RSI,100,0.3550114731179368,0.30199067911272515,0.30199067911272515,0.05302079400521165,11.755709618621054,5.877854809310527
