task,window,winner_size_group,N,symbols,entry_time_buckets,exit_reasons,gross_total_R,mean_R,holding_minutes_median,stop_risk_pct_median,cost_R_median,median_price_vs_sma200_pct,median_sma200_slope20_pct,trend_aligned_rate,median_atr_pct_1m,median_atr_pct_15m,median_atr_pct_60m,median_15m_threshold_depth,median_60m_threshold_depth,regime_ready_rate,regime_eligible_rate
Task53,X_early,LOSS_OR_FLAT,8,AMAT|AMZN|GOOGL|KLAC|LRCX|MU|STX,MID|OPEN,STOP,-8.0,-1.0,5.5,0.3673173305985684,0.2949921790674391,2.819287656077485,0.9775378140686519,1.0,0.18823629030563616,0.7714639684655102,1.3212662545769538,0.4424639684655103,0.4822662545769538,1.0,1.0
Task53,X_early,SMALL_WIN,1,QCOM,MID,SIGNAL_EXIT,0.160617876424715,0.160617876424715,295.0,6.168933296327125,0.0162905668866227,5.709809596887516,1.447456364063049,1.0,0.3254091593946361,1.3453136866758924,1.7436472102949387,1.0163136866758924,0.9046472102949388,1.0,1.0
Task53,Y_middle,LOSS_OR_FLAT,1,AMD,MID,STOP,-1.0,-1.0,59.0,0.3279729411715737,0.3044032022055948,1.6741873944610575,1.00001420172795,1.0,0.21383401885632738,0.9008771252451283,1.4840751485763861,0.5718771252451282,0.6450751485763861,1.0,1.0
Task53,Y_middle,VERY_LARGE_WIN,1,AMD,MID,END_OF_SESSION,4.872438730414133,4.872438730414133,156.0,0.4134276792239442,0.24431649256731242,0.5892794115069933,0.2412573680679042,1.0,0.2368353672212002,0.7616491220725708,1.3346359096654115,0.43264912207257084,0.4956359096654115,1.0,1.0
Task53,Z_late,LOSS_OR_FLAT,4,ADBE|CSCO|KLAC|VRTX,MID|OPEN,STOP,-4.0,-1.0,4.0,0.3431776649267729,0.3475830244604377,0.4850210706687563,0.6255872972431686,1.0,0.22861236207584318,0.6407123453146899,1.0056287732967308,0.31171234531468983,0.16662877329673093,1.0,1.0
Task53,Z_late,SMALL_WIN,1,KLAC,MID,SIGNAL_EXIT,0.7323998068565791,0.7323998068565791,54.0,1.6574550262263856,0.06069966199903352,5.1915947105059645,1.0978652757346996,1.0,0.14905670860500475,0.8878003457756942,1.4079980072272784,0.5588003457756943,0.5689980072272784,1.0,1.0
Task53,Z_late,VERY_LARGE_WIN,1,ADI,MID,SIGNAL_EXIT,13.439597315440796,13.439597315440796,145.0,0.11699212462405464,0.8614781879197535,1.989354645813468,0.8902415274633979,1.0,0.11939877086565101,0.6857807269574855,1.2273011219668535,0.3567807269574855,0.3883011219668535,1.0,1.0
Task54,W1,LOSS_OR_FLAT,9,AMAT|AVGO|KLAC|LRCX|MU|STX,MID|OPEN,STOP,-9.0,-1.0,15.0,0.2393498959119745,0.4172983851590097,1.6434741159159438,1.088371255522369,1.0,0.18203049129306875,0.6678729075295488,1.0430429594102688,0.33887290752954874,0.20404295941026884,1.0,1.0
Task54,W1,MEDIUM_WIN,3,AMAT|INTC|MU,MID,END_OF_SESSION,4.92201700261087,1.6406723342036234,235.0,0.4594214203542779,0.21865774290546885,4.312665536577565,1.218771440721489,1.0,0.30781188412670535,1.0073338015584627,1.3741254194656165,0.6783338015584628,0.5351254194656165,1.0,1.0
Task54,W2,LARGE_WIN,1,STX,MID,END_OF_SESSION,3.1195796527510256,3.1195796527510256,250.0,0.5715251245128198,0.17653022543975672,0.4253594207673794,1.1679078513878949,1.0,0.3786577457990301,1.4301006862860004,1.546830411912675,1.1011006862860004,0.707830411912675,1.0,1.0
