trade_id,symbol,direction,signal_type,session,signal_timestamp,entry_timestamp,entry_price,stop_price,target_price,atr,risk_reward_ratio,screening_rr,execution_rr,confluence_score,opportunity_score,volume_surge_ratio,trend_alignment,exit_timestamp,exit_price,exit_reason,gross_R,net_R,gross_pnl,net_pnl,holding_seconds,mfe_price,mfe_pct,mfe_r,mae_price,mae_pct,mae_r,exit_signal_type,exit_signal_direction,geometry_path,fallback_reason,structural_level,structural_level_type,window,task,family,risk,risk_pct_entry,R_5bps,cost_R_5bps,time_bucket,holding_bucket,source_window,risk_abs,net_R_5bps,holding_minutes,realized_price_move_pct,winner_size_group,entry_et,exit_et,minutes_to_1600_et,signal_price,htf_sma_200_15m,price_vs_sma200_pct,sma200_slope_20_completed_15m_bars_pct,trend_aligned_existing,trend_state_60m,atr_1m_existing,atr_pct_1m,atr_15m,atr_pct_15m,atr_60m,atr_pct_60m,distance_above_15m_threshold_pct_points,distance_above_60m_threshold_pct_points,regime_ready,regime_eligible,regime_reason,volatility_expansion_state,completed_15m_bars,completed_60m_bars
STX-2025-10-27 16:24:00+00:00,STX,bullish,rsi_oversold_volume_surge,regular,2025-10-27T16:23:00+00:00,2025-10-27T16:24:00+00:00,230.09,229.4819,239.8062,0.3368127068504832,12.441348782711003,12.441348782711003,15.977964150633696,1,0.6003137003270682,1.6823516830200784,True,2025-10-27T16:26:00+00:00,229.4819,STOP,-1.0,-1.0,-0.608099999999979,-0.608099999999979,120.0,230.23,0.0608457560085124,0.2302252918927663,229.42,-0.2911904037550593,-1.1017924683440865,,,STRUCTURAL_PRIMARY,,229.4819,prior_session_S1_pivot,X_early,Task53,,,0.2642878873484321,,0.37787526722578063,MID,,X_early,0.6081000000000074,-1.3778752672257806,2.0,-0.26428788734841974,LOSS_OR_FLAT,2025-10-27T12:24:00-04:00,2025-10-27T12:26:00-04:00,216.0,230.25,223.514899,3.013267137954845,0.8740096138527997,True,NOT_EMITTED_BY_ENGINE,0.3368127068504832,0.1462813059068331,1.8558492749028686,0.8051756149520016,3.259168422367804,1.4088827313222685,0.4761756149520016,0.5698827313222685,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,271,148
QCOM-2025-10-28 14:31:00+00:00,QCOM,bullish,rsi_oversold_volume_surge,regular,2025-10-28T14:30:00+00:00,2025-10-28T14:31:00+00:00,180.15,169.0366666666667,206.16666666666669,0.5862246006494369,2.341031793641277,2.341031793641277,2.341031793641277,1,0.4521548633242552,2.2513144519555985,True,2025-10-28T19:26:00+00:00,181.935,SIGNAL_EXIT,0.160617876424715,0.160617876424715,1.7849999999999966,1.7849999999999966,17700.0,183.06,1.6153205661948358,0.2618476304739053,179.7001,-0.2497363308354225,-0.0404829034193174,macd_bearish_cross,bearish,STRUCTURAL_PRIMARY,,169.0366666666667,prior_session_S1_pivot,X_early,Task53,,,6.168933296327125,,0.0162905668866227,MID,,X_early,11.113333333333316,0.1443273095380923,295.0,0.9908409658617799,SMALL_WIN,2025-10-28T10:31:00-04:00,2025-10-28T15:26:00-04:00,329.0,180.15,170.419378,5.709809596887516,1.447456364063049,True,NOT_EMITTED_BY_ENGINE,0.5862246006494369,0.3254091593946361,2.415107130320562,1.3453136866758924,3.163935045440681,1.7436472102949387,1.0163136866758924,0.9046472102949388,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,290,175
KLAC-2025-10-30 15:57:00+00:00,KLAC,bullish,rsi_oversold_volume_surge,regular,2025-10-30T15:55:00+00:00,2025-10-30T15:57:00+00:00,1207.35,1204.956569068666,1256.0700000000002,2.728953954222728,11.486696804891771,11.486696804891771,20.355715873048087,1,0.6167715712139152,2.5052452273624297,True,2025-10-30T16:08:00+00:00,1204.956569068666,STOP,-1.0,-1.0,-2.393430931334024,-2.393430931334024,660.0,1211.2,0.3188801921563868,1.608569501462182,1204.71,-0.2186607031929326,-1.1030190867168326,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,X_early,Task53,,,0.19823836760954125,,0.503943217555969,MID,,X_early,2.3934309313337963,-1.503943217555969,11.0,-0.19823836760956012,LOSS_OR_FLAT,2025-10-30T11:57:00-04:00,2025-10-30T12:08:00-04:00,243.0,1209.05,1182.233871,2.2682592385310008,0.844642791372685,True,NOT_EMITTED_BY_ENGINE,2.728953954222728,0.2257105954445828,11.24537753037281,0.9215332036133058,25.2213735728903,2.0538577828086564,0.5925332036133057,1.2148577828086564,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,347,131
AMAT-2025-10-30 16:42:00+00:00,AMAT,bullish,rsi_oversold_volume_surge,regular,2025-10-30T16:41:00+00:00,2025-10-30T16:42:00+00:00,233.87,232.77000000000004,238.16000000000005,0.2450133097167644,3.9000000000001394,3.9000000000001394,3.9000000000001394,1,0.5600714785473293,2.970240594032713,True,2025-10-30T17:06:00+00:00,232.77000000000004,STOP,-1.0,-1.0,-1.099999999999966,-1.099999999999966,1440.0,234.36,0.209518108350797,0.4454545454545675,232.71,-0.4960020524222844,-1.0545454545454842,,,STRUCTURAL_PRIMARY,,232.77000000000004,prior_session_S1_pivot,X_early,Task53,,,0.47034677384870477,,0.21210909090909752,MID,,X_early,1.099999999999966,-1.2121090909090975,24.0,-0.47034677384870477,LOSS_OR_FLAT,2025-10-30T12:42:00-04:00,2025-10-30T13:06:00-04:00,198.0,233.87,229.3479855,1.9716826769337503,0.328409022888021,True,NOT_EMITTED_BY_ENGINE,0.2450133097167644,0.104764745250252,1.5247002171971047,0.6499009898327422,2.4205757544314914,1.0302952900449014,0.32090098983274223,0.19129529004490142,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,350,201
AMZN-2025-10-30 16:42:00+00:00,AMZN,bullish,rsi_oversold_volume_surge,regular,2025-10-30T16:41:00+00:00,2025-10-30T16:42:00+00:00,225.83,225.4398129013557,232.8533333333333,0.24012473242952,19.58241524996775,19.58241524996775,17.999911728850588,1,0.5825405492868514,0.7936941310092411,True,2025-10-30T17:03:00+00:00,225.4398129013557,STOP,-1.0,-1.0,-0.3901870986442759,-0.3901870986442759,1260.0,226.36,0.2346898109197188,1.3583227170798624,225.37,-0.2036930434397591,-1.1789216035032946,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,X_early,Task53,,,0.17277912529084014,,0.5782736211285326,MID,,X_early,0.39018709864430434,-1.5782736211285326,21.0,-0.17277912529082756,LOSS_OR_FLAT,2025-10-30T12:42:00-04:00,2025-10-30T13:03:00-04:00,198.0,225.8,224.30569050000003,0.6661933081898219,0.5680229714672302,True,NOT_EMITTED_BY_ENGINE,0.24012473242952,0.1063439913328255,1.2198096455979597,0.5394523463638597,1.899999540595247,0.839407793503533,0.21045234636385973,0.0004077935035330382,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,350,216
GOOGL-2025-10-31 14:02:00+00:00,GOOGL,bullish,rsi_oversold_volume_surge,regular,2025-10-31T14:01:00+00:00,2025-10-31T14:02:00+00:00,279.06,277.16333333333336,288.6933333333333,0.7534595087620001,4.953528399311516,4.953528399311516,5.079086115993019,1,0.6001481658652419,1.8134897619942147,True,2025-10-31T14:04:00+00:00,277.16333333333336,STOP,-1.0,-1.0,-1.896666666666647,-1.896666666666647,120.0,279.27,0.0752526338421771,0.1107205623901485,277.04,-0.7238586683867203,-1.0650263620386655,,,STRUCTURAL_PRIMARY,,277.16333333333336,prior_session_S1_pivot,X_early,Task53,,,0.6796626770825798,,0.14663181019332316,OPEN,,X_early,1.896666666666647,-1.1466318101933233,2.0,-0.6796626770825798,LOSS_OR_FLAT,2025-10-31T10:02:00-04:00,2025-10-31T10:04:00-04:00,358.0,279.1,264.424206,5.550094759479007,1.182331481908916,True,NOT_EMITTED_BY_ENGINE,0.7534595087620001,0.2699604115951272,2.0518367578880476,0.737752321979019,3.45960405107035,1.2439249428557275,0.40875232197901895,0.40492494285572755,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,366,230
STX-2025-10-31 14:04:00+00:00,STX,bullish,rsi_oversold_volume_surge,regular,2025-10-31T14:03:00+00:00,2025-10-31T14:04:00+00:00,257.49,254.66076755865177,275.9133333333333,2.3194216275654966,5.108581990757927,5.108581990757927,6.51177791689461,1,0.5823208177237919,0.7827075528562599,True,2025-10-31T14:11:00+00:00,254.66076755865177,STOP,-1.0,-1.0,-2.829232441348239,-2.829232441348239,420.0,259.625,0.8291584139189836,0.7546216312232659,254.54,-1.1456755602159374,-1.0426856262804012,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,X_early,Task53,,,1.098773716007705,,0.09051054980031831,OPEN,,X_early,2.829232441348239,-1.0905105498003183,7.0,-1.098773716007705,LOSS_OR_FLAT,2025-10-31T10:04:00-04:00,2025-10-31T10:11:00-04:00,356.0,258.1399,235.97944999999999,9.390838905675913,2.3954216790561977,True,NOT_EMITTED_BY_ENGINE,2.3194216275654966,0.8985134136820757,3.7411629665192585,1.4549694576748176,5.281079052317848,2.053855657573153,1.1259694576748176,1.2148556575731528,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,366,210
MU-2025-10-31 16:15:00+00:00,MU,bullish,rsi_oversold_volume_surge,regular,2025-10-31T16:14:00+00:00,2025-10-31T16:15:00+00:00,221.905,220.73333333333335,227.39333333333337,0.5364717777556964,4.6123595505620605,4.6123595505620605,4.684210526315993,1,0.5627349403778726,0.9663350338741162,True,2025-10-31T16:19:00+00:00,220.73333333333335,STOP,-1.0,-1.0,-1.1716666666666242,-1.1716666666666242,240.0,221.96,0.0247853811315683,0.0469416785206334,220.59,-0.5925959306910604,-1.1223328591750033,,,STRUCTURAL_PRIMARY,,220.73333333333335,prior_session_S1_pivot,X_early,Task53,,,0.528003725317885,,0.1888926031294475,MID,,X_early,1.1716666666666526,-1.1888926031294476,4.0,-0.5280037253178721,LOSS_OR_FLAT,2025-10-31T12:15:00-04:00,2025-10-31T12:19:00-04:00,225.0,221.92,216.24295600000002,2.625308174200125,1.081066014284504,True,NOT_EMITTED_BY_ENGINE,0.5364717777556964,0.241741067842329,2.195577730156868,0.9871314315964698,3.110782948960412,1.39860756629818,0.6581314315964697,0.5596075662981801,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,374,232
LRCX-2025-10-31 16:25:00+00:00,LRCX,bullish,rsi_oversold_volume_surge,regular,2025-10-31T16:24:00+00:00,2025-10-31T16:25:00+00:00,158.395,158.03181213754172,164.0666666666666,0.2387919083055195,15.84829432160906,15.84829432160906,15.61634419244382,1,0.5841291355029258,0.8731234418129594,True,2025-10-31T16:26:00+00:00,158.03181213754172,STOP,-1.0,-1.0,-0.3631878624582896,-0.3631878624582896,60.0,158.395,0.0,0.0,158.03,-0.2304365668108267,-1.0049895322201954,,,ATR_FALLBACK,STRUCTURE_NOT_BELOW_ENTRY,,,X_early,Task53,,,0.22929250447191488,,0.43562415604387367,MID,,X_early,0.3631878624582896,-1.4356241560438736,1.0,-0.22929250447191488,LOSS_OR_FLAT,2025-10-31T12:25:00-04:00,2025-10-31T12:26:00-04:00,215.0,158.39,153.529064,3.1661340682699546,1.1532506093057782,True,NOT_EMITTED_BY_ENGINE,0.2387919083055195,0.1507619851666895,1.060452216494862,0.6673708096254638,1.7493752109234804,1.0968901219070635,0.3383708096254638,0.2578901219070635,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,375,228
AMD-2026-03-24 17:14:00+00:00,AMD,bullish,rsi_oversold_volume_surge,regular,2026-03-24T17:13:00+00:00,2026-03-24T17:14:00+00:00,200.68,199.8503333333334,207.2493333333334,0.4754588414649204,7.178703021371275,7.178703021371275,7.918039373242863,1,0.61250910026891,2.29212168011217,True,2026-03-24T19:50:00+00:00,204.7225,END_OF_SESSION,4.872438730414133,4.872438730414133,4.04249999999999,4.04249999999999,9360.0,206.43,2.865258122383895,6.930494174367679,200.21,-0.2342037073948569,-0.5664925672961393,,,STRUCTURAL_PRIMARY,,199.8503333333334,prior_session_S1_pivot,Y_middle,Task53,,,0.4134276792239442,,0.24431649256731242,MID,,Y_middle,0.8296666666666113,4.62812223784682,156.0,2.0144010364759763,VERY_LARGE_WIN,2026-03-24T13:14:00-04:00,2026-03-24T15:50:00-04:00,166.0,200.755,199.5789225,0.5892794115069933,0.2412573680679042,True,NOT_EMITTED_BY_ENGINE,0.4754588414649204,0.2368353672212002,1.5360177844837537,0.7616491220725708,2.691560239022235,1.3346359096654115,0.43264912207257084,0.4956359096654115,True,True,REGIME_ELIGIBLE,NOT_EMITTED_BY_ENGINE,300,185
