scope,task,comparison_group,N,median_atr_pct_1m,median_atr_pct_15m,median_atr_pct_60m,median_15m_threshold_depth,median_60m_threshold_depth,regime_ready_rate,regime_eligible_rate
COMBINED_COMPARISON,COMBINED,PRIOR_2R_PLUS,10,0.2744467224069224,0.9663301309245815,1.4407331607890432,0.6373301309245815,0.6017331607890433,1.0,1.0
COMBINED_COMPARISON,COMBINED,PRIOR_OTHER,46,0.21352250570515774,0.8010770133004828,1.2154285415953843,0.4720770133004828,0.3764285415953842,1.0,1.0
COMBINED_COMPARISON,COMBINED,TASK56_LOSS_OR_FLAT,29,0.14123564906535277,0.676097318207976,1.082993420055795,0.347097318207976,0.24399342005579494,1.0,1.0
COMBINED_COMPARISON,COMBINED,TASK56_WINNERS,15,0.15951319752499357,0.6401597372001896,1.0772539562271957,0.3111597372001896,0.2382539562271957,1.0,1.0
TASK_REPRODUCIBILITY,Task53,OTHER,15,0.21383401885632738,0.8051756149520016,1.2439249428557275,0.4761756149520016,0.40492494285572755,1.0,1.0
TASK_REPRODUCIBILITY,Task53,2R_PLUS,2,0.1781170690434256,0.7237149245150282,1.2809685158161326,0.39471492451502815,0.4419685158161325,1.0,1.0
TASK_REPRODUCIBILITY,Task54,OTHER,31,0.21345935761831092,0.796978411648964,1.2127405640691136,0.467978411648964,0.3737405640691136,1.0,1.0
TASK_REPRODUCIBILITY,Task54,2R_PLUS,8,0.3418922747232508,1.159060013905018,1.595355710583202,0.830060013905018,0.756355710583202,1.0,1.0
TASK_REPRODUCIBILITY,Task56,OTHER,39,0.14123564906535277,0.652139268348452,1.0886995731350715,0.323139268348452,0.24969957313507152,1.0,1.0
TASK_REPRODUCIBILITY,Task56,2R_PLUS,5,0.21448937008523566,0.7302666568030213,1.0276573614756277,0.40126665680302126,0.18865736147562773,1.0,1.0
