scope,task,window,N,winners,losses,flats,win_rate,gross_total_R,gross_expectancy_R,gross_PF,median_R,p25_R,p75_R,mean_winning_R,median_winning_R,mean_losing_R,max_winner_R,top3_winner_mean_R,top5_winner_mean_R,positive_R_top3_concentration,stop_rate,signal_exit_rate,end_of_session_rate,target_rate,holding_minutes_mean,holding_minutes_median,total_R_5bps
WINDOW,Task53,X_early,9,1,8,0,0.1111111111111111,-7.839382123575285,-0.8710424581750317,0.020077234553089376,-1.0,-1.0,-1.0,0.160617876424715,0.160617876424715,-1.0,0.160617876424715,0.160617876424715,0.160617876424715,1.0,0.8888888888888888,0.1111111111111111,0.0,0.0,40.77777777777778,7.0,-10.38953300644825
WINDOW,Task53,Y_middle,2,1,1,0,0.5,3.8724387304141326,1.9362193652070663,4.872438730414133,1.9362193652070663,0.46810968260353314,3.4043290478105996,4.872438730414133,4.872438730414133,-1.0,4.872438730414133,4.872438730414133,4.872438730414133,1.0,0.5,0.0,0.5,0.0,107.5,107.5,3.323719035641225
WINDOW,Task53,Z_late,6,2,4,0,0.3333333333333333,10.171997122297375,1.695332853716229,3.5429992805743438,-1.0,-1.0,0.29929985514243435,7.0859985611486875,7.0859985611486875,-1.0,13.439597315440796,7.0859985611486875,7.0859985611486875,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,63.166666666666664,29.5,7.6090094766533625
WINDOW,Task54,W1,12,3,9,0,0.25,-4.077982997389131,-0.3398319164490942,0.5468907780678745,-1.0,-1.0,-0.48933872524240984,1.6406723342036234,1.8940451561277216,-1.0,1.9853267474527871,1.6406723342036234,1.6406723342036234,1.0,0.75,0.0,0.25,0.0,73.58333333333333,29.0,-9.177345713733434
WINDOW,Task54,W2,6,3,3,0,0.5,7.944293060855479,1.3240488434759132,3.6480976869518265,-0.11933663419048296,-1.0,2.5300164224680275,3.6480976869518265,3.1195796527510256,-1.0,7.063386676485419,3.6480976869518265,3.6480976869518265,1.0,0.5,0.3333333333333333,0.16666666666666666,0.0,116.16666666666667,61.0,6.019671565646917
WINDOW,Task54,W3,21,9,12,0,0.42857142857142855,24.707148494329125,1.1765308806823394,3.058929041194094,-1.0,-1.0,2.7702697664110465,4.078572054925458,3.4760933251111537,-1.0,10.455746766609664,7.662252730207558,6.01202830745005,0.6262202086924264,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,75.04761904761905,27.0,18.460792829775713
WINDOW,Task56,H1_early,13,3,9,1,0.23076923076923078,-5.983425441076163,-0.46026349546739714,0.20378818897027257,-1.0,-1.0,0.0,0.5104803427028622,0.4043244795038053,-0.83498516324275,0.7409200968522905,0.5104803427028622,0.5104803427028622,1.0000000000000002,0.5384615384615384,0.07692307692307693,0.38461538461538464,0.0,90.53846153846153,46.0,-11.010256505751627
WINDOW,Task56,H2_middle,10,5,5,0,0.5,7.722030033794083,0.7722030033794083,4.111832763270712,0.06322663755138844,-0.19039148464372596,0.7146974694320165,2.0407071014023344,0.7981180496150398,-0.4963010946435176,5.467750550323512,3.168855945982825,2.040707101402334,0.9316935126472335,0.2,0.2,0.6,0.0,126.4,101.5,6.133532536363222
WINDOW,Task56,H3_late,21,7,14,0,0.3333333333333333,-1.015969567855927,-0.04837950323123462,0.9145515043836784,-1.0,-1.0,0.5491071428571437,1.553411109545946,1.9293478260870176,-0.8492748096198249,2.960638209447465,2.5600513738665307,2.0326146752516117,0.7062939538490381,0.5238095238095238,0.23809523809523808,0.23809523809523808,0.0,70.80952380952381,63.0,-5.667510817625958
COMPARISON,Task53+54,ALL,56,19,37,0,0.3392857142857143,34.7785122869317,0.6210448622666375,1.9399597915386946,-1.0,-1.0,1.0171267919989517,3.7778164361543,2.7702697664110465,-1.0,13.439597315440796,10.569660085283479,8.728961132549998,0.44176145820764673,0.6607142857142857,0.14285714285714285,0.19642857142857142,0.0,73.51785714285714,25.5,15.846314187535532
COMPARISON,Task56,ALL,44,15,28,1,0.3409090909090909,0.7226350248619948,0.016423523292318064,1.0330178097785379,-0.313758595781246,-1.0,0.41935229184859063,1.507256953462792,0.7409200968522905,-0.7816506884671387,5.467750550323512,3.8896959992603004,3.2777207819866057,0.5161291165814909,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.0,89.27272727272727,64.5,-10.544234787014368
