family,direction,cost_bps,expectancy_pct,total_return_pct,profit_factor,win_rate
FAMILY_A_AVWAP,LONG,0.0,-0.00534913916390428,-136.99680312675252,0.979974529307718,0.5008785287571746
FAMILY_A_AVWAP,LONG,5.0,-0.055349139163904285,-1417.5468031267526,0.8110490636477047,0.4654250126898598
FAMILY_A_AVWAP,LONG,10.0,-0.10534913916390429,-2698.0968031267525,0.6713836033002756,0.42833157627581897
FAMILY_A_AVWAP,LONG,15.0,-0.15534913916390428,-3978.6468031267527,0.5562272161495909,0.3924876029830932
FAMILY_A_AVWAP,LONG,20.0,-0.20534913916390427,-5259.1968031267525,0.4615237755390327,0.35652649252274415
FAMILY_A_AVWAP,SHORT,0.0,0.00534913916390428,136.99680312675252,1.0204346848753594,0.4959197219944555
FAMILY_A_AVWAP,SHORT,5.0,-0.04465086083609573,-1143.5531968732478,0.8449264143751929,0.45703018234352427
FAMILY_A_AVWAP,SHORT,10.0,-0.09465086083609572,-2424.1031968732477,0.7005132100084202,0.41728163679668895
FAMILY_A_AVWAP,SHORT,15.0,-0.1446508608360957,-3704.6531968732475,0.5820355985799988,0.38143766350396313
FAMILY_A_AVWAP,SHORT,20.0,-0.19465086083609576,-4985.203196873248,0.4848335403489498,0.34731170200304556
FAMILY_B_GAP,LONG,0.0,-0.1271919089562045,-869.483889624614,0.9154850486859396,0.49751316559391456
FAMILY_B_GAP,LONG,5.0,-0.17719190895620449,-1211.283889624614,0.8842095207784761,0.48946752486834405
FAMILY_B_GAP,LONG,10.0,-0.22719190895620442,-1553.0838896246134,0.8539942866346591,0.47966647162083087
FAMILY_B_GAP,LONG,15.0,-0.27719190895620455,-1894.8838896246143,0.824813280223572,0.4713282621416033
FAMILY_B_GAP,LONG,20.0,-0.3271919089562046,-2236.6838896246145,0.7966348364747121,0.4635751901696899
FAMILY_B_GAP,SHORT,0.0,-0.15760117901657913,-867.279288128235,0.8937540026975402,0.49700163547156095
FAMILY_B_GAP,SHORT,5.0,-0.20760117901657912,-1142.429288128235,0.8623943457492098,0.4895511539160458
FAMILY_B_GAP,SHORT,10.0,-0.25760117901657914,-1417.579288128235,0.8321136356894092,0.48264582954751956
FAMILY_B_GAP,SHORT,15.0,-0.3076011790165792,-1692.729288128235,0.8028799258625775,0.4744684717426858
FAMILY_B_GAP,SHORT,20.0,-0.3576011790165792,-1967.8792881282352,0.7746716570888985,0.46429220425222606
FAMILY_C_RESIDUAL,LONG,0.0,0.19844389390116318,246.07042843744236,1.6686292407828887,0.6056451612903225
FAMILY_C_RESIDUAL,LONG,5.0,0.14844389390116247,184.07042843744148,1.468022548091367,0.5766129032258065
FAMILY_C_RESIDUAL,LONG,10.0,0.09844389390116287,122.07042843744196,1.2903912120561136,0.5516129032258065
FAMILY_C_RESIDUAL,LONG,15.0,0.04844389390116281,60.07042843744189,1.1337491585297246,0.521774193548387
FAMILY_C_RESIDUAL,LONG,20.0,-0.0015561060988372208,-1.9295715625581538,0.9959762313419319,0.49516129032258066
FAMILY_C_RESIDUAL,SHORT,0.0,-0.10473096446331508,-122.74469035100527,0.7552743454459236,0.4325938566552901
FAMILY_C_RESIDUAL,SHORT,5.0,-0.1547309644633152,-181.3446903510054,0.6613010169766377,0.4138225255972696
FAMILY_C_RESIDUAL,SHORT,10.0,-0.2047309644633153,-239.94469035100553,0.57953738896299,0.38054607508532423
FAMILY_C_RESIDUAL,SHORT,15.0,-0.2547309644633153,-298.5446903510055,0.5086421000660155,0.3583617747440273
FAMILY_C_RESIDUAL,SHORT,20.0,-0.3047309644633151,-357.1446903510053,0.44698893145884977,0.33447098976109213
FAMILY_D_BREAK,LONG,0.0,-0.06102193223999722,-610.7074978578921,0.8572214195360139,0.495603517186251
FAMILY_D_BREAK,LONG,5.0,-0.1110219322399972,-1111.107497857892,0.7550836463124295,0.4672262190247802
FAMILY_D_BREAK,LONG,10.0,-0.16102193223999722,-1611.5074978578923,0.6649968610239779,0.43754996003197444
FAMILY_D_BREAK,LONG,15.0,-0.21102193223999718,-2111.907497857892,0.5858701916065789,0.40677458033573144
FAMILY_D_BREAK,LONG,20.0,-0.2610219322399972,-2612.307497857892,0.5165177570402915,0.37929656274980017
FAMILY_D_BREAK,SHORT,0.0,0.03684675852803624,396.28688796902975,1.0979876907458126,0.500511390051139
FAMILY_D_BREAK,SHORT,5.0,-0.013153241471963766,-141.4631120309703,0.9672495568339351,0.47401208740120876
FAMILY_D_BREAK,SHORT,10.0,-0.06315324147196377,-679.2131120309704,0.8526935718638109,0.4437006043700604
FAMILY_D_BREAK,SHORT,15.0,-0.11315324147196376,-1216.9631120309703,0.7525200699392,0.4165504416550442
FAMILY_D_BREAK,SHORT,20.0,-0.16315324147196378,-1754.7131120309705,0.6650003083559395,0.3902370990237099
