symbol,trading_day,mfe_pct,mae_pct,gross_return_pct
AAPL,2025-03-04,0.21707367981631467,2.032978501356712,-1.4527238572323182
AAPL,2025-03-06,0.2657641679379842,1.5858541422473025,-0.7465100790881463
AAPL,2025-03-07,1.021219604068136,0.44782990834135233,0.0418532624618065
ADBE,2025-03-06,0.19276788088274496,1.905964725693516,-1.4490826907737349
ADBE,2025-03-07,0.752332901727911,1.5515470821985062,0.3214716256641509
ADBE,2025-03-11,0.989691193464603,0.8226450498277984,-0.7562842530405847
ADBE,2025-03-14,2.500711163981488,0.0878998681114071,1.978328893946049
ADI,2025-03-12,0.8340923253918702,1.4332965821389236,-0.9683140789032214
ADI,2025-03-13,0.06992838368981227,2.2979913674615933,-1.6806925321308797
AMAT,2025-03-04,2.6883133955567264,1.1305376626791108,0.5258314710135477
AMAT,2025-03-10,0.36263393662931537,2.938811676484579,-1.5210934807935257
AMAT,2025-03-12,1.4596585202544405,0.6093069969869411,-0.194174757281548
AMAT,2025-03-13,0.02633311389071234,2.323897300855827,-1.2508229098090886
AMD,2025-03-04,6.272530641672678,0.8645586569162608,3.8108971057781456
AMD,2025-03-06,0.27338773885349893,2.1994426751592435,-1.6620222929936324
AMD,2025-03-12,3.0442710971532874,0.49640360652415655,2.1578360855029985
AMZN,2025-03-04,3.6227889963421447,0.5161096357167917,2.1496216866262565
AMZN,2025-03-05,2.0558930741190715,0.8165249088699912,1.2904009720534635
AMZN,2025-03-11,2.036129822412727,1.306389058991632,0.2755664421310431
AVGO,2025-03-04,5.723630417007359,1.1719814663395898,2.316707549741074
AVGO,2025-03-06,0.22265062858073614,3.1571859132748727,-2.614787260039641
AVGO,2025-03-11,3.3471576500422637,0.8452557058326241,0.3592561284869013
AVGO,2025-03-12,1.4493495851684997,1.4377240602273882,-0.5684728054901081
CMCSA,2025-03-06,1.2115304275170653,0.7834563431277027,1.0165715081465032
CMCSA,2025-03-07,0.6151377373629229,0.5883926183471486,0.5081572612998067
CMCSA,2025-03-13,0.22563813284444592,2.242278945141734,-2.0871527288111547
CSCO,2025-03-07,1.446525966326771,0.8615919690143099,1.0354912655125983
GILD,2025-03-07,1.161797368870664,0.3246198530667994,0.2989919699299456
GILD,2025-03-10,0.5111018014243817,1.9438625890238739,-1.7762882279011232
GILD,2025-03-12,1.1179577464788824,0.22007042253521128,0.2992957746478903
GOOGL,2025-03-04,3.29296060082255,0.33379030815998223,1.8894915658341704
GOOGL,2025-03-06,0.28126973193271376,1.5842948166006656,-1.0504563457895717
HON,2025-03-07,0.6026066240015044,0.7474190685289832,0.1821833979539472
HON,2025-03-10,0.12841091492776938,2.049988534739738,-1.8940609951846012
INTC,2025-03-06,0.5725190839694534,2.2423664122137517,-0.9541984732824392
INTC,2025-03-13,0.3297252289758541,2.47710241465445,-1.2905911740216434
INTU,2025-03-11,2.326421128649536,0.0,0.859726950720451
INTU,2025-03-12,1.100393968210844,0.559536747724487,0.3854775166417575
ISRG,2025-03-05,1.5291829488071749,0.7761897114715325,1.3543172207055354
ISRG,2025-03-11,2.144018774317068,0.24085472548736214,1.5459991353932914
KLAC,2025-03-04,3.574799561693768,1.1308445350952367,1.1706248033588973
KLAC,2025-03-12,2.0681147681080745,0.1515973455602015,1.1510994523174336
KLAC,2025-03-13,0.021042091438768503,2.965483714146824,-1.0731466633773257
KLAC,2025-03-14,1.110638900694154,0.086414506304011,1.012891344383054
LRCX,2025-03-04,3.9888682745825674,1.5173601908295733,1.3517095149748348
LRCX,2025-03-12,2.8609271523178763,0.35099337748344445,1.4304635761589382
LRCX,2025-03-13,0.052397170552779725,2.35132302855646,-1.362326434372552
MDLZ,2025-03-07,1.6187837246609504,1.4073209858538562,-1.2396091585241278
MDLZ,2025-03-10,2.258843585736615,3.59426054837335,-3.196476772268788
MDLZ,2025-03-14,0.24008022306226712,0.4806254175055612,-0.3256349571683817
META,2025-03-11,2.383204022510067,0.8424627884519429,0.7991741866737628
MSFT,2025-03-04,1.962210246087918,0.39088370885007356,0.959677942990728
MSFT,2025-03-06,0.33201857306906013,1.587697838134694,-0.8862149882670157
MSFT,2025-03-11,1.0180314569103102,1.360864672476509,-0.4946219674962671
MU,2025-03-04,5.34669067987393,1.0018009905448002,2.723998199009457
MU,2025-03-07,1.8235422581349656,2.2821576763485516,1.5177986459925754
MU,2025-03-10,1.562853907134779,2.8765571913929695,-1.359003397508497
MU,2025-03-11,4.845206583036015,0.09207043388191771,2.393831280929909
MU,2025-03-12,3.422904670505431,0.4585199402857825,1.9940285775218645
MU,2025-03-13,0.14906127501548158,2.8405199092221904,-2.1043944708066764
NFLX,2025-03-11,2.8168855068700314,0.10951418603863787,1.0228850778453868
NVDA,2025-03-04,5.827567855242157,1.6320737981195579,2.856129146709242
NVDA,2025-03-11,5.376021030889118,0.11266547741996483,1.999812224204296
NVDA,2025-03-12,2.1910604732690624,1.0692375109553014,1.4373356704645055
NVDA,2025-03-13,0.7186243476773064,2.0874326289674032,-1.009496107451456
PANW,2025-03-11,2.51524604445943,0.542393839754941,0.5536351628586762
PEP,2025-03-05,0.25583730043070163,0.4825285792933738,-0.3335600246122055
PEP,2025-03-07,1.145662847790505,1.3253746670517619,-0.8889316774172968
PEP,2025-03-10,0.3447627405503738,12.455337554065068,-2.04977120290855
PYPL,2025-03-07,3.1911027113469617,1.0976230282765072,2.449661990259508
QCOM,2025-03-07,2.625570776255699,1.3571790969051336,2.226027397260268
QCOM,2025-03-10,0.17074558907228876,9.947511541137033,-1.9414405868589093
QCOM,2025-03-13,0.038774718883289566,2.7917797595967566,-1.8030244280729095
REGN,2025-03-04,1.184492329210192,2.0207759663155445,-1.6215743695091562
REGN,2025-03-05,2.074523728838521,0.8192011315584061,1.1403986975291376
REGN,2025-03-07,1.4584294969830152,1.659344326112942,-1.5988655006534491
REGN,2025-03-10,1.0438046883439585,0.8844658096575503,0.6252025494220738
SBUX,2025-03-07,2.4257885416168046,0.7323026851098459,1.948020868233376
STX,2025-03-07,0.0,2.6618542747575002,-0.7444168734491277
TSLA,2025-03-11,5.507543726912633,0.5073657038586437,2.58578485913926
TSLA,2025-03-12,3.002087117418047,1.390552715972482,1.5460538020669965
