family,direction,n_trades,top1_symbol_share,top3_symbol_share,top1_day_share
FAMILY_A_AVWAP,LONG,25611,0.05311200607521419,0.14817273097163283,0.030473577035994005
FAMILY_A_AVWAP,SHORT,25611,0.0468164863868028,0.13784938280777584,0.05170987750935127
FAMILY_B_GAP,LONG,6836,0.10792029438731815,0.2750556201647064,0.05558886785405256
FAMILY_B_GAP,SHORT,5503,0.07474050963960377,0.21256713367711955,0.07840509903664687
FAMILY_C_RESIDUAL,LONG,1240,0.09207227569361576,0.24764081650508024,0.18917451365349094
FAMILY_C_RESIDUAL,SHORT,1172,0.11968298337932594,0.2948614663453763,0.1718892321240668
FAMILY_D_BREAK,LONG,10008,0.05074547399050252,0.13466045216564887,0.025692087142107075
FAMILY_D_BREAK,SHORT,10755,0.05650190571244872,0.1607487479222576,0.030177943585064704
