family,horizon_label,n_trades,n_symbols,n_days,gross_expectancy_pct,net_expectancy_10bps_pct,profit_factor_10bps,friction_absorption_ratio,weaker_cluster_interpretation,top1_symbol_share,top3_symbol_share,top1_day_share
FAMILY_A_AVWAP,120m,17074,35,149,0.0,-0.1,0.7463948760219826,0.0,by_day,0.050032659590269445,0.14504673909416207,0.029482627165850983
FAMILY_A_AVWAP,30m,17074,35,149,0.0,-0.1,0.5981842255569653,0.0,by_day,0.04882541849758059,0.1441216740005126,0.022817516693515158
FAMILY_A_AVWAP,60m,17074,35,149,0.0,-0.1,0.6792374871776959,0.0,by_day,0.04948960670498885,0.13868147861241423,0.030163326491560616
FAMILY_B_GAP,120m,2508,35,144,-0.09581825358735296,-0.19581825358735294,0.7905922258122701,0.9581825358735296,by_day,0.07978515822187236,0.217470654249657,0.03983478306167911
FAMILY_B_GAP,180m,2508,35,144,-0.14928993603787835,-0.24928993603787836,0.7611955710718731,1.4928993603787835,by_day,0.07880935252698848,0.227018936461064,0.04432890228055594
FAMILY_B_GAP,3_DAY_CLOSE,2352,35,132,-0.03865737331954194,-0.13865737331954195,0.947644395088403,0.38657373319541943,by_day,0.09730985693439619,0.2574546812558514,0.04996438438335178
FAMILY_B_GAP,EOD,2508,35,144,0.0015086988256387875,-0.0984913011743612,0.911291534190009,0.015086988256387875,by_day,0.08401187817400364,0.2311051844720955,0.05096897512922357
FAMILY_B_GAP,NEXT_DAY_CLOSE,2463,35,140,-0.42017601006086414,-0.520176010060864,0.7489773460640062,4.201760100608641,by_day,0.09861091589560882,0.2514982766968289,0.05949899115635689
FAMILY_C_RESIDUAL,120m,603,35,26,0.058006470900194125,-0.04199352909980601,0.8853777733000149,0.5800647090019412,by_day,0.07916600632749791,0.2288349562440139,0.11933546110570566
FAMILY_C_RESIDUAL,180m,603,35,26,0.06822476402484758,-0.03177523597515252,0.9271939294386898,0.6822476402484757,by_day,0.07775405364072116,0.21746850995554803,0.15991214905032947
FAMILY_C_RESIDUAL,60m,603,35,26,0.04738931289838924,-0.0526106871016108,0.8278521781470474,0.4738931289838924,by_day,0.07524667425007335,0.2009949783605607,0.14104022075597444
FAMILY_C_RESIDUAL,EOD,603,35,26,0.03089974751062648,-0.06910025248937361,0.8708625438663404,0.3089974751062648,by_day,0.09183553977144963,0.21234308177457098,0.11056594041042969
FAMILY_D_BREAK,120m,6921,35,145,-0.010777395248923755,-0.11077739524892376,0.7902483336312517,0.10777395248923755,by_day,0.050849996494144525,0.1418228678745735,0.03477381526888508
FAMILY_D_BREAK,30m,6921,35,145,-0.007889129997079922,-0.10788912999707995,0.7120412252327419,0.07889129997079922,by_day,0.050248148865693204,0.14602503411156229,0.024280414026273515
FAMILY_D_BREAK,60m,6921,35,145,-0.012314634974898268,-0.11231463497489828,0.755017470638354,0.12314634974898267,by_day,0.0603127687699787,0.14690061882364658,0.022086736888974424
