family,direction,assumed_round_trip_bps,gross_expectancy_pct,friction_absorption_ratio
FAMILY_A_AVWAP,LONG,10,-0.00534913916390428,0.0534913916390428
FAMILY_A_AVWAP,LONG,15,-0.00534913916390428,0.03566092775936187
FAMILY_A_AVWAP,LONG,20,-0.00534913916390428,0.0267456958195214
FAMILY_A_AVWAP,SHORT,10,0.00534913916390428,0.0534913916390428
FAMILY_A_AVWAP,SHORT,15,0.00534913916390428,0.03566092775936187
FAMILY_A_AVWAP,SHORT,20,0.00534913916390428,0.0267456958195214
FAMILY_B_GAP,LONG,10,-0.1271919089562045,1.271919089562045
FAMILY_B_GAP,LONG,15,-0.1271919089562045,0.84794605970803
FAMILY_B_GAP,LONG,20,-0.1271919089562045,0.6359595447810225
FAMILY_B_GAP,SHORT,10,-0.15760117901657913,1.5760117901657913
FAMILY_B_GAP,SHORT,15,-0.15760117901657913,1.0506745267771942
FAMILY_B_GAP,SHORT,20,-0.15760117901657913,0.7880058950828956
FAMILY_C_RESIDUAL,LONG,10,0.19844389390116318,1.9844389390116317
FAMILY_C_RESIDUAL,LONG,15,0.19844389390116318,1.3229592926744214
FAMILY_C_RESIDUAL,LONG,20,0.19844389390116318,0.9922194695058159
FAMILY_C_RESIDUAL,SHORT,10,-0.10473096446331508,1.0473096446331507
FAMILY_C_RESIDUAL,SHORT,15,-0.10473096446331508,0.6982064297554339
FAMILY_C_RESIDUAL,SHORT,20,-0.10473096446331508,0.5236548223165753
FAMILY_D_BREAK,LONG,10,-0.06102193223999722,0.6102193223999721
FAMILY_D_BREAK,LONG,15,-0.06102193223999722,0.40681288159998147
FAMILY_D_BREAK,LONG,20,-0.06102193223999722,0.30510966119998606
FAMILY_D_BREAK,SHORT,10,0.03684675852803624,0.3684675852803624
FAMILY_D_BREAK,SHORT,15,0.03684675852803624,0.24564505685357493
FAMILY_D_BREAK,SHORT,20,0.03684675852803624,0.1842337926401812
