family,direction,n_trades,ci_low_by_symbol,ci_high_by_symbol,ci_low_by_day,ci_high_by_day,weaker_interpretation
FAMILY_A_AVWAP,LONG,25611,-0.018520286970709197,0.00850080361270775,-0.0664050992349496,0.050030733102706636,by_day
FAMILY_A_AVWAP,SHORT,25611,-0.008500803612707752,0.018520286970709197,-0.05003073310270664,0.06640509923494958,by_day
FAMILY_B_GAP,LONG,6836,-0.3484944934442185,0.09568251585286985,-0.5722423005233575,0.3115817943766805,by_day
FAMILY_B_GAP,SHORT,5503,-0.40133103741230786,0.06266615931935365,-0.6541959235601733,0.35624308054831344,by_day
FAMILY_C_RESIDUAL,LONG,1240,0.07863113856016006,0.31372648260178354,-0.13682808327027016,0.4905245208103936,by_day
FAMILY_C_RESIDUAL,SHORT,1172,-0.229915241932034,0.0266041744214743,-0.32943675199082795,0.11036165589728598,by_day
FAMILY_D_BREAK,LONG,10008,-0.1150630373712144,-0.011842643761252903,-0.1422982963684157,0.020717392124880343,by_day
FAMILY_D_BREAK,SHORT,10755,-0.017895707943241714,0.08934274708050732,-0.0328930470643785,0.10878077590652727,by_day
