episode_id,symbol,issuer_cik,eligible_entry_session,entry_date,exit_date,trading_days_held,entry_price,exit_price,shares,position_cost_usd,gross_return_pct,cost_bps_round_trip,net_return_pct,net_pnl_usd,win,pricing_source_provenance
0009dfdd76e7a9be,ACHR,0001824502,2024-11-27,2026-09-11T09:23:41.005510+01:00,2026-09-11T09:23:41.127500+01:00,10,7.51,7.17,1331.5579227696405,10000.0,-4.5273,20,-4.7273,-472.73,False,"local bar CSV (task95g_broad_cross_sectional/_daily or task107a_form4_feasibility/_prices) -- frozen historical, NOT live composite-yf"
3ea1497b79c8911a,MSTR,0001050446,2025-03-25,2026-09-11T09:23:41.826960+01:00,2026-09-11T09:23:41.957596+01:00,10,333.21,237.76,30.011104108520154,10000.0,-28.6456,20,-28.8456,-2884.56,False,"local bar CSV (task95g_broad_cross_sectional/_daily or task107a_form4_feasibility/_prices) -- frozen historical, NOT live composite-yf"
5de3e6757ff8cddb,UNH,0000731766,2025-05-19,2026-09-11T09:23:42.302550+01:00,2026-09-11T09:23:42.450514+01:00,10,294.73,291.3,33.92935907440708,10000.0,-1.1638,20,-1.3638,-136.38,False,"local bar CSV (task95g_broad_cross_sectional/_daily or task107a_form4_feasibility/_prices) -- frozen historical, NOT live composite-yf"
3bbaa44a794190aa,MSTR,0001050446,2025-06-10,2026-09-11T09:23:42.555742+01:00,2026-09-11T09:23:42.738805+01:00,10,393.24,388.67,25.42976299460889,10000.0,-1.1621,20,-1.3621,-136.21,False,"local bar CSV (task95g_broad_cross_sectional/_daily or task107a_form4_feasibility/_prices) -- frozen historical, NOT live composite-yf"
b154c83c2445af2c,MSTR,0001050446,2025-07-30,2026-09-11T09:23:43.179489+01:00,2026-09-11T09:23:43.389678+01:00,10,396.78,389.9,25.202883209839207,10000.0,-1.734,20,-1.934,-193.4,False,"local bar CSV (task95g_broad_cross_sectional/_daily or task107a_form4_feasibility/_prices) -- frozen historical, NOT live composite-yf"
d78e71460b0940d1,ADC,0000917251,2025-10-07,2026-09-11T09:23:43.991245+01:00,2026-09-11T09:23:44.202704+01:00,10,67.55,72.15,148.03849000740192,10000.0,6.8098,20,6.6098,660.98,True,"local bar CSV (task95g_broad_cross_sectional/_daily or task107a_form4_feasibility/_prices) -- frozen historical, NOT live composite-yf"
9b53daa2461b31ce,ADC,0000917251,2026-01-13,2026-09-11T09:23:45.089152+01:00,2026-09-11T09:23:45.366659+01:00,10,69.43,69.11,144.0299582313121,10000.0,-0.4609,20,-0.6609,-66.09,False,"local bar CSV (task95g_broad_cross_sectional/_daily or task107a_form4_feasibility/_prices) -- frozen historical, NOT live composite-yf"
c683447b53fae98a,MSTR,0001050446,2026-01-13,2026-09-11T09:23:45.160427+01:00,2026-09-11T09:23:45.392397+01:00,10,164.45,158.45,60.808756460930375,10000.0,-3.6485,20,-3.8485,-384.85,False,"local bar CSV (task95g_broad_cross_sectional/_daily or task107a_form4_feasibility/_prices) -- frozen historical, NOT live composite-yf"
f2dd3e65b6a1a618,ABT,0000001800,2026-02-09,2026-09-11T09:23:45.621259+01:00,2026-09-11T09:23:45.861107+01:00,10,108.77,113.06,91.93711501333088,10000.0,3.9441,20,3.7441,374.41,True,"local bar CSV (task95g_broad_cross_sectional/_daily or task107a_form4_feasibility/_prices) -- frozen historical, NOT live composite-yf"
d45a4ce35b6f8716,IBM,0000051143,2026-02-26,2026-09-11T09:23:45.985264+01:00,2026-09-11T09:23:46.283680+01:00,10,236.26,244.12,42.32625074070939,10000.0,3.3268,20,3.1268,312.68,True,"local bar CSV (task95g_broad_cross_sectional/_daily or task107a_form4_feasibility/_prices) -- frozen historical, NOT live composite-yf"
