window,gross_trades,gross_wins,gross_losses,gross_flats,gross_total_R,gross_expectancy_R,gross_profit_factor,gross_max_drawdown_R,net_5bps_trades,net_5bps_wins,net_5bps_losses,net_5bps_flats,net_5bps_total_R,net_5bps_expectancy_R,net_5bps_profit_factor,net_5bps_max_drawdown_R,mean_cost_R_5bps,median_cost_R_5bps,median_holding_minutes
O1,13,2,11,0,-3.261138160670032,-0.25085678159000246,0.6142058483922639,6.6211939450095585,13,2,11,0,-5.003909527651931,-0.38491611751168703,0.4925399464518606,7.891013523085761,0.1340593359216845,0.13694897959183816,24.0
O2,10,2,8,0,-1.4611536475437408,-0.1461153647543741,0.6913250259680588,3.0286971759266286,10,2,8,0,-2.511954578896191,-0.25119545788961906,0.547279200403811,3.7073969858924753,0.105080093135245,0.09092566053688458,14.0
O3,23,5,18,0,-1.315064969873477,-0.05717673782058596,0.8941619844943489,8.051684712920615,23,5,18,0,-3.6695842595544272,-0.1595471417197577,0.7467705780869648,9.429983990486923,0.1023704038991718,0.1055495397942613,44.0
