window,symbol,session,status,reason,observed_buckets,missing_buckets
O1,KLAC,2025-02-07,DATA_NOT_READY,MISSING_OPENING_BUCKETS:09:55,09:30|09:35|09:40|09:45|09:50,09:55
O1,BKNG,2025-02-10,DATA_NOT_READY,"MISSING_OPENING_BUCKETS:09:40,09:55",09:30|09:35|09:45|09:50,09:40|09:55
O1,BKNG,2025-02-11,DATA_NOT_READY,MISSING_OPENING_BUCKETS:09:45,09:30|09:35|09:40|09:50|09:55,09:45
O2,BKNG,2025-03-26,DATA_NOT_READY,"MISSING_OPENING_BUCKETS:09:35,09:50,09:55",09:30|09:40|09:45,09:35|09:50|09:55
O3,BKNG,2025-04-25,DATA_NOT_READY,MISSING_OPENING_BUCKETS:09:55,09:30|09:35|09:40|09:45|09:50,09:55
O3,BKNG,2025-04-30,DATA_NOT_READY,MISSING_OPENING_BUCKETS:09:50,09:30|09:35|09:40|09:45|09:55,09:50
