ticker,confirmation_timestamp,entry_timestamp,entry_price,stop_price,exit_timestamp,exit_price,exit_reason,gross_r,net_r_5bps,mfe_r,mae_r,window,risk_abs,risk_pct_entry,actual_fill_feasibility_cost_r_5bps,actual_cost_r_5bps,holding_minutes,breakout_timestamp,estimated_candidate_cost_R_5bps,breakout_to_confirmation_minutes,confirmation_to_fill_minutes,next_available_fill_verified,time_bucket,realization_ratio,stop_risk_bucket,cost_R_bucket
MU,2025-02-10 15:05:00+00:00,2025-02-10 15:06:00+00:00,95.84,95.11,2025-02-10 16:18:00+00:00,95.11,STOP,-1.0,-1.130787671232876,0.5753424657534238,-1.0410958904109602,O1,0.730000000000004,0.7616861435726252,0.13128767123287602,0.13078767123287602,72.0,2025-02-10 15:04:00+00:00,0.1295270270270279,1.0,1.0,True,OPEN,-1.7380952380952406,>=0.75%,<0.20R
MDLZ,2025-02-11 15:20:00+00:00,2025-02-11 15:21:00+00:00,59.0,58.7,2025-02-11 20:50:00+00:00,60.265,END_OF_SESSION,4.2166666666667085,4.017891666666706,4.25033333333338,-0.533333333333327,O1,0.29999999999999716,0.5084745762711816,0.19666666666666854,0.1987750000000019,329.0,2025-02-11 15:19:00+00:00,0.1903548387096804,1.0,1.0,True,OPEN,0.9920790526233226,0.50-0.75%,<0.20R
INTC,2025-02-18 15:25:00+00:00,2025-02-18 15:26:00+00:00,26.235,25.669999999999998,2025-02-18 15:45:00+00:00,25.765,THESIS_FAILURE,-0.8318584070796421,-0.8778761061946863,0.008849557522122114,-0.91150442477876,O1,0.5650000000000013,2.153611587573857,0.04643362831858397,0.04601769911504415,19.0,2025-02-18 15:24:00+00:00,0.04675757575757547,1.0,1.0,True,OPEN,-94.00000000001846,>=0.75%,<0.20R
MSFT,2025-02-19 16:15:00+00:00,2025-02-19 16:16:00+00:00,411.67,408.64,2025-02-19 20:50:00+00:00,414.625,END_OF_SESSION,0.9752475247524605,0.8388952145214387,1.2310231023102063,-0.6831683168316742,O1,3.0300000000000296,0.7360264289358053,0.13586468646864555,0.13635231023102176,274.0,2025-02-19 16:14:00+00:00,0.13498032786885195,1.0,1.0,True,MID,0.7922252010723899,0.50-0.75%,<0.20R
STX,2025-02-21 15:05:00+00:00,2025-02-21 15:06:00+00:00,102.85,102.25,2025-02-21 15:30:00+00:00,102.8064,THESIS_FAILURE,-0.0726666666666638,-0.24404699999999874,0.9500000000000213,-0.2333333333333365,O1,0.5999999999999943,0.5833738454059255,0.1714166666666683,0.17138033333333494,24.0,2025-02-21 15:04:00+00:00,0.15361194029850705,1.0,1.0,True,OPEN,-0.07649122807017071,0.50-0.75%,<0.20R
PEP,2025-02-24 15:05:00+00:00,2025-02-24 15:06:00+00:00,155.88,154.845,2025-02-24 15:13:00+00:00,154.845,STOP,-1.0,-1.1501086956521744,0.2801932367149691,-1.0241545893719863,O1,1.0349999999999966,0.6639722863741317,0.1506086956521744,0.1501086956521744,7.0,2025-02-24 15:04:00+00:00,0.15355665024630322,1.0,1.0,True,OPEN,-3.568965517241465,0.50-0.75%,<0.20R
REGN,2025-02-24 15:05:00+00:00,2025-02-24 15:06:00+00:00,717.1,712.59,2025-02-24 17:54:00+00:00,712.59,STOP,-1.0,-1.1585022172949007,1.7516629711751648,-1.0886917960088642,O1,4.509999999999991,0.6289220471342896,0.15900221729490055,0.15850221729490055,168.0,2025-02-24 15:04:00+00:00,0.13883172147002043,1.0,1.0,True,OPEN,-0.5708860759493676,0.50-0.75%,<0.20R
TXN,2025-02-24 15:15:00+00:00,2025-02-24 15:16:00+00:00,203.04,201.57500000000002,2025-02-24 20:15:00+00:00,201.96,THESIS_FAILURE,-0.7372013651877151,-0.8754266211604137,1.6177474402730683,-0.8327645051194673,O1,1.464999999999975,0.7215327029156694,0.13859385665529247,0.1382252559726986,299.0,2025-02-24 15:14:00+00:00,0.1414703832752639,1.0,1.0,True,OPEN,-0.455696202531638,0.50-0.75%,<0.20R
AMD,2025-02-28 15:10:00+00:00,2025-02-28 15:11:00+00:00,100.79,100.19,2025-02-28 16:30:00+00:00,100.295,THESIS_FAILURE,-0.8249999999999958,-0.9925708333333269,1.6833333333332943,-0.9809999999999853,O1,0.6000000000000085,0.5952971524952957,0.16798333333333096,0.16757083333333098,79.0,2025-02-28 15:09:00+00:00,0.16454880835781902,1.0,1.0,True,OPEN,-0.490099009900999,0.50-0.75%,<0.20R
QCOM,2025-03-03 15:30:00+00:00,2025-03-03 15:31:00+00:00,159.925,158.56,2025-03-03 15:50:00+00:00,159.33,THESIS_FAILURE,-0.4358974358974322,-0.5528406593406548,0.05494505494504625,-0.75091575091575,O1,1.365000000000009,0.8535250898858896,0.11716117216117139,0.1169432234432227,19.0,2025-03-03 15:29:00+00:00,0.11758823529411891,1.0,1.0,True,MID,-7.933333333334521,>=0.75%,<0.20R
MDLZ,2025-03-04 15:20:00+00:00,2025-03-04 15:21:00+00:00,67.35,66.86,2025-03-04 15:33:00+00:00,66.86,STOP,-1.0,-1.1369489795918382,0.14285714285715942,-1.0204081632653168,O1,0.4899999999999949,0.7275426874535931,0.13744897959183816,0.13694897959183816,12.0,2025-03-04 15:19:00+00:00,0.13472,1.0,1.0,True,OPEN,-6.999999999999188,0.50-0.75%,<0.20R
AMAT,2025-03-07 17:45:00+00:00,2025-03-07 17:46:00+00:00,154.035,152.49,2025-03-07 17:58:00+00:00,152.49,STOP,-1.0,-1.0991990291262144,0.09708737864078117,-1.1035598705501604,O1,1.5449999999999875,1.0030187944298292,0.09969902912621441,0.09919902912621441,12.0,2025-03-07 17:44:00+00:00,0.1047346938775511,1.0,1.0,True,MID,-10.299999999999526,>=0.75%,<0.20R
KLAC,2025-03-07 17:45:00+00:00,2025-03-07 17:46:00+00:00,699.605,692.02,2025-03-07 18:00:00+00:00,695.43,THESIS_FAILURE,-0.5504284772577519,-0.642388595912992,0.45418589321027286,-0.6756756756756724,O1,7.585000000000036,1.0841832176728348,0.09223533289386904,0.09196011865524016,14.0,2025-03-07 17:44:00+00:00,0.10352148148148148,1.0,1.0,True,MID,-1.2119013062409711,>=0.75%,<0.20R
HON,2025-03-10 14:25:00+00:00,2025-03-10 14:26:00+00:00,218.17,216.16,2025-03-10 15:45:00+00:00,216.31,THESIS_FAILURE,-0.925373134328355,-1.0334527363184052,0.15134328358209456,-0.9477611940298556,O2,2.009999999999991,0.9212999037447821,0.10854228855721443,0.10807960199005023,79.0,2025-03-10 14:24:00+00:00,0.1046738609112706,1.0,1.0,True,OPEN,-6.114398422090506,>=0.75%,<0.20R
MU,2025-03-12 14:05:00+00:00,2025-03-12 14:06:00+00:00,95.9,94.61999999999999,2025-03-12 14:10:00+00:00,95.245,THESIS_FAILURE,-0.5117187499999948,-0.5863847656249939,0.015624999999996704,-0.585937499999993,O2,1.2800000000000153,1.3347236704901098,0.07492187499999911,0.07466601562499911,4.0,2025-03-12 14:04:00+00:00,0.07492187499999911,1.0,1.0,True,OPEN,-32.75000000000657,>=0.75%,<0.20R
KLAC,2025-03-13 14:15:00+00:00,2025-03-13 14:16:00+00:00,691.29,682.99,2025-03-13 14:30:00+00:00,688.92,THESIS_FAILURE,-0.2855421686747009,-0.3686873493975929,0.32650602409639173,-0.2506024096385468,O2,8.299999999999955,1.2006538500484536,0.08328795180722937,0.08314518072289202,14.0,2025-03-13 14:14:00+00:00,0.07878929384965856,1.0,1.0,True,OPEN,-0.8745387453874437,>=0.75%,<0.20R
MDLZ,2025-03-14 14:05:00+00:00,2025-03-14 14:06:00+00:00,64.8,64.44999999999999,2025-03-14 14:15:00+00:00,64.7,THESIS_FAILURE,-0.2857142857142625,-0.470714285714258,0.11428571428572937,-0.45714285714283626,O2,0.3500000000000085,0.5401234567901366,0.1851428571428526,0.1849999999999955,9.0,2025-03-14 14:04:00+00:00,0.177575342465749,1.0,1.0,True,OPEN,-2.499999999999467,0.50-0.75%,<0.20R
CMCSA,2025-03-14 14:10:00+00:00,2025-03-14 14:11:00+00:00,35.205,34.99,2025-03-14 14:20:00+00:00,35.12,THESIS_FAILURE,-0.3953488372093131,-0.5588953488372228,0.20930232558140688,-0.46511627906978203,O2,0.2149999999999963,0.6107087061496842,0.16374418604651444,0.16354651162790979,9.0,2025-03-14 14:09:00+00:00,0.16004545454545535,1.0,1.0,True,OPEN,-1.8888888888888362,0.50-0.75%,<0.20R
INTC,2025-03-17 14:10:00+00:00,2025-03-17 14:11:00+00:00,25.83,25.43,2025-03-17 15:00:00+00:00,25.58,THESIS_FAILURE,-0.6250000000000022,-0.6892625000000024,0.787500000000006,-0.724750000000001,O2,0.3999999999999986,1.5485869144405675,0.06457500000000023,0.06426250000000022,49.0,2025-03-17 14:09:00+00:00,0.06379012345678994,1.0,1.0,True,OPEN,-0.7936507936507905,>=0.75%,<0.20R
AMD,2025-03-24 14:05:00+00:00,2025-03-24 14:06:00+00:00,110.82,109.67999999999999,2025-03-24 19:50:00+00:00,114.23,END_OF_SESSION,2.991228070175447,2.8925219298245697,3.535087719298245,-0.12280701754384762,O2,1.1400000000000006,1.0286951813752037,0.09721052631578943,0.09870614035087716,344.0,2025-03-24 14:04:00+00:00,0.09637391304347778,1.0,1.0,True,OPEN,0.8461538461538487,>=0.75%,<0.20R
GILD,2025-03-26 14:05:00+00:00,2025-03-26 14:06:00+00:00,109.61,108.80999999999999,2025-03-26 19:50:00+00:00,109.835,END_OF_SESSION,0.2812499999999889,0.14409687499999085,1.0624999999999778,-0.8124999999999956,O2,0.8000000000000114,0.7298604141957954,0.13701249999999804,0.13715312499999804,344.0,2025-03-26 14:04:00+00:00,0.13873417721518877,1.0,1.0,True,OPEN,0.26470588235293624,0.50-0.75%,<0.20R
INTC,2025-04-03 14:25:00+00:00,2025-04-03 14:26:00+00:00,22.19,21.7928,2025-04-03 14:40:00+00:00,21.91,THESIS_FAILURE,-0.704934541792548,-0.7604481369587109,0.352467270896265,-0.704934541792548,O2,0.39720000000000155,1.789995493465532,0.0558660624370592,0.05551359516616292,14.0,2025-04-03 14:24:00+00:00,0.05656552779194303,1.0,1.0,True,OPEN,-2.000000000000051,>=0.75%,<0.20R
AVGO,2025-04-04 18:00:00+00:00,2025-04-04 18:01:00+00:00,149.46,147.62,2025-04-04 18:14:00+00:00,147.62,STOP,-1.0,-1.080728260869565,0.3804347826086888,-1.0119565217391258,O2,1.8400000000000034,1.231098621704806,0.08122826086956507,0.08072826086956507,13.0,2025-04-04 17:59:00+00:00,0.08057951482479829,1.0,1.0,True,MID,-2.628571428571476,>=0.75%,<0.20R
GOOGL,2025-04-07 14:05:00+00:00,2025-04-07 14:06:00+00:00,145.67,144.10500000000002,2025-04-07 14:38:00+00:00,144.10500000000002,STOP,-1.0,-1.0925798722044746,4.5878594249202225,-1.0990415335463468,O3,1.5649999999999693,1.0743461248026152,0.09307987220447467,0.09257987220447467,32.0,2025-04-07 14:04:00+00:00,0.09134796238244683,1.0,1.0,True,OPEN,-0.2179665738161515,>=0.75%,<0.20R
ADI,2025-04-07 14:10:00+00:00,2025-04-07 14:11:00+00:00,174.07,168.96,2025-04-07 14:35:00+00:00,169.59,THESIS_FAILURE,-0.8767123287671238,-0.9103385518591004,1.8082191780821988,-0.9178082191780844,O3,5.109999999999985,2.9356006204400447,0.03406457925636018,0.03362622309197662,24.0,2025-04-07 14:09:00+00:00,0.03649952726126692,1.0,1.0,True,OPEN,-0.48484848484848325,>=0.75%,<0.20R
INTU,2025-04-07 14:15:00+00:00,2025-04-07 14:16:00+00:00,568.48,547.25,2025-04-07 15:15:00+00:00,551.93,THESIS_FAILURE,-0.7795572303344349,-0.8059446537918066,0.34903438530381353,-0.8822421102213849,O3,21.230000000000018,3.734520123839012,0.026777202072538836,0.02638742345737162,59.0,2025-04-07 14:14:00+00:00,0.0246036230321329,1.0,1.0,True,OPEN,-2.233468286099884,>=0.75%,<0.20R
MU,2025-04-09 17:20:00+00:00,2025-04-09 17:21:00+00:00,67.96,64.46499999999999,2025-04-09 19:50:00+00:00,77.98,END_OF_SESSION,2.86695278969957,2.8460743919885543,3.0329041487839756,-0.17453505007153036,O3,3.4950000000000045,5.142731018246034,0.019444921316165924,0.02087839771101571,149.0,2025-04-09 17:19:00+00:00,0.019497847919655593,1.0,1.0,True,MID,0.9452830188679248,>=0.75%,<0.20R
PANW,2025-04-09 17:20:00+00:00,2025-04-09 17:21:00+00:00,160.81,154.36,2025-04-09 19:50:00+00:00,173.55,END_OF_SESSION,1.9751937984496173,1.949274418604656,1.9891472868217064,-0.11937984496124211,O3,6.449999999999989,4.010944592997941,0.02493178294573648,0.025919379844961284,149.0,2025-04-09 17:19:00+00:00,0.02530866141732286,1.0,1.0,True,MID,0.9929851909586925,>=0.75%,<0.20R
PYPL,2025-04-09 17:20:00+00:00,2025-04-09 17:21:00+00:00,59.3,56.85,2025-04-09 19:50:00+00:00,64.03,END_OF_SESSION,1.9306122448979641,1.905442857142862,1.9489795918367403,-0.1428571428571408,O3,2.4499999999999957,4.131534569983129,0.024204081632653102,0.025169387755102083,149.0,2025-04-09 17:19:00+00:00,0.02485648342425519,1.0,1.0,True,MID,0.9905759162303662,>=0.75%,<0.20R
VRTX,2025-04-11 14:05:00+00:00,2025-04-11 14:06:00+00:00,479.68,476.315,2025-04-11 14:20:00+00:00,477.31,THESIS_FAILURE,-0.7043090638930158,-0.8465066864784538,0.8246656760772569,-0.7459138187221349,O3,3.365000000000009,0.7015093395597084,0.14254977711738445,0.14219762258543794,14.0,2025-04-11 14:04:00+00:00,0.13025780189959285,1.0,1.0,True,OPEN,-0.8540540540540628,0.50-0.75%,<0.20R
