stop_risk_bucket,cost_R_bucket,gross_trades,gross_wins,gross_losses,gross_flats,gross_total_R,gross_expectancy_R,gross_profit_factor,gross_max_drawdown_R,net_5bps_trades,net_5bps_wins,net_5bps_losses,net_5bps_flats,net_5bps_total_R,net_5bps_expectancy_R,net_5bps_profit_factor,net_5bps_max_drawdown_R,mean_cost_R_5bps,median_cost_R_5bps,median_holding_minutes
0.50-0.75%,<0.20R,18,4,14,0,-1.4322752826529586,-0.07957084903627548,0.8271160682449492,7.72493508810721,18,4,14,0,-4.3211379615230125,-0.2400632200846118,0.5898921327275615,9.95079955762343,0.1604923710483363,0.1608867665421881,34.0
>=0.75%,<0.20R,28,5,23,0,-4.605081495434291,-0.1644671962655104,0.7342303105218654,7.535794403956539,28,5,23,0,-6.864310404579536,-0.2451539430206977,0.6455085671653675,8.738396959007504,0.08068674675518739,0.09226999542985742,37.0
