window,ticker,entry_timestamp,favorable_excursion_R_15m,favorable_excursion_R_30m,favorable_excursion_R_60m,favorable_excursion_R_120m,favorable_excursion_R_session_close
O1,MU,2025-02-10T15:06:00+00:00,0.5753424657534238,0.5753424657534238,0.5753424657534238,0.5753424657534238,0.5753424657534238
O1,MDLZ,2025-02-11T15:21:00+00:00,0.07199999999999868,0.07199999999999868,1.6333333333333555,2.5333333333333505,4.983333333333372
O1,INTC,2025-02-18T15:26:00+00:00,0.008849557522122114,0.008849557522122114,0.008849557522122114,0.026548672566372628,2.3274336283185812
O1,MSFT,2025-02-19T16:16:00+00:00,0.05280528052804179,0.05280528052804179,0.05280528052804179,0.05280528052804179,1.2607260726072462
O1,STX,2025-02-21T15:06:00+00:00,0.9500000000000213,0.9500000000000213,0.9500000000000213,0.9500000000000213,0.9500000000000213
O1,PEP,2025-02-24T15:06:00+00:00,0.2801932367149691,0.2801932367149691,0.4251207729468591,0.4251207729468591,0.4251207729468591
O1,REGN,2025-02-24T15:06:00+00:00,1.7516629711751648,1.7516629711751648,1.7516629711751648,1.7516629711751648,1.7516629711751648
O1,TXN,2025-02-24T15:16:00+00:00,0.5802047781570027,0.5802047781570027,0.9044368600682865,1.1877133105802313,1.6177474402730683
O1,AMD,2025-02-28T15:11:00+00:00,1.199999999999981,1.6833333333332943,1.6833333333332943,1.6833333333332943,1.6833333333332943
O1,QCOM,2025-03-03T15:31:00+00:00,0.05494505494504625,0.05494505494504625,0.05494505494504625,0.05494505494504625,0.05494505494504625
O1,MDLZ,2025-03-04T15:21:00+00:00,0.14285714285715942,0.14285714285715942,0.14285714285715942,0.14285714285715942,0.14285714285715942
O1,AMAT,2025-03-07T17:46:00+00:00,0.09708737864078117,0.09708737864078117,0.25566343042072065,1.4966990291262237,1.4966990291262237
O1,KLAC,2025-03-07T17:46:00+00:00,0.45418589321027286,0.45418589321027286,0.45418589321027286,1.6934739617666401,1.9129861568885855
O2,HON,2025-03-10T14:26:00+00:00,0.15134328358209456,0.15134328358209456,0.15134328358209456,0.15134328358209456,0.15134328358209456
O2,MU,2025-03-12T14:06:00+00:00,0.015624999999996704,0.015624999999996704,0.015624999999996704,0.015624999999996704,0.8515624999999813
O2,KLAC,2025-03-13T14:16:00+00:00,0.32650602409639173,0.32650602409639173,0.32650602409639173,0.32650602409639173,0.32650602409639173
O2,MDLZ,2025-03-14T14:06:00+00:00,0.11428571428572937,0.11428571428572937,0.11428571428572937,0.11428571428572937,0.11428571428572937
O2,CMCSA,2025-03-14T14:11:00+00:00,0.20930232558140688,0.674418604651189,1.325581395348877,1.3720930232558455,1.7906976744186591
O2,INTC,2025-03-17T14:11:00+00:00,0.787500000000006,0.787500000000006,0.787500000000006,0.787500000000006,0.787500000000006
O2,AMD,2025-03-24T14:06:00+00:00,1.0789473684210555,1.605263157894747,1.8506140350877216,2.541228070175442,3.535087719298245
O2,GILD,2025-03-26T14:06:00+00:00,1.0624999999999778,1.0624999999999778,1.0624999999999778,1.0624999999999778,1.0624999999999778
O2,INTC,2025-04-03T14:26:00+00:00,0.352467270896265,0.352467270896265,0.352467270896265,0.352467270896265,4.305135951661608
O2,AVGO,2025-04-04T18:01:00+00:00,0.3804347826086888,0.3804347826086888,0.3804347826086888,1.8152173913043463,1.8152173913043463
O3,ADI,2025-04-07T14:11:00+00:00,1.8082191780821988,1.8082191780821988,1.8082191780821988,1.8082191780821988,1.8082191780821988
O3,GOOGL,2025-04-07T14:06:00+00:00,4.5878594249202225,4.5878594249202225,4.5878594249202225,4.5878594249202225,4.5878594249202225
O3,INTU,2025-04-07T14:16:00+00:00,0.34903438530381353,0.34903438530381353,0.34903438530381353,0.34903438530381353,0.34903438530381353
O3,MU,2025-04-09T17:21:00+00:00,1.5364806866952783,1.5793991416309021,2.6366237482117287,3.0329041487839756,3.0329041487839756
O3,PANW,2025-04-09T17:21:00+00:00,1.178294573643412,1.1922480620155056,1.5492248062015541,1.8759689922480645,2.0620155038759744
O3,PYPL,2025-04-09T17:21:00+00:00,1.1959183673469407,1.3428571428571479,1.595918367346943,1.8775510204081671,1.9877551020408217
O3,VRTX,2025-04-11T14:06:00+00:00,0.8246656760772569,0.8246656760772569,0.8246656760772569,0.8246656760772569,2.1664190193164936
O3,HON,2025-04-11T14:46:00+00:00,0.3203883495145749,0.3203883495145749,0.3203883495145749,2.8106796116504924,4.524271844660186
O3,KLAC,2025-04-11T16:36:00+00:00,0.8865398167723664,0.8865398167723664,0.8865398167723664,1.4645384073290977,1.4645384073290977
O3,STX,2025-04-16T15:26:00+00:00,0.16239316239315824,0.16239316239315824,0.16239316239315824,0.16239316239315824,0.39316239316237034
O3,INTC,2025-04-22T14:26:00+00:00,0.027070925825657937,0.027070925825657937,0.8662696264212271,0.8662696264212271,0.8662696264212271
O3,MDLZ,2025-04-23T14:06:00+00:00,0.5641025641025968,0.5641025641025968,0.5641025641025968,0.5641025641025968,0.5641025641025968
O3,INTC,2025-04-24T14:06:00+00:00,0.3243243243243134,0.3243243243243134,0.3243243243243134,0.3243243243243134,1.081081081081064
O3,KLAC,2025-04-24T14:06:00+00:00,0.2723076923076951,0.3019410496046025,0.3019410496046025,0.3019410496046025,0.750539180445722
O3,ADI,2025-04-24T14:06:00+00:00,0.30540037243947576,0.30540037243947576,0.30540037243947576,0.30540037243947576,0.7318435754189845
O3,MU,2025-04-25T14:11:00+00:00,0.32876712328766244,0.32876712328766244,0.32876712328766244,0.32876712328766244,1.9726027397260135
O3,AMAT,2025-04-25T14:11:00+00:00,0.35807588637775994,0.35807588637775994,0.35807588637775994,0.35807588637775994,1.9856935517313135
O3,TSLA,2025-04-25T14:11:00+00:00,0.48388068695391245,1.6080897860801584,1.8736065079843534,2.796324194034371,3.4271617957216356
