removal,count,remaining_trades,net_5bps_total_R,net_5bps_expectancy_R,net_5bps_profit_factor
top_winner,1,45,-15.203340032769258,-0.33785200072820576,0.49153414219687436
top_winner,3,43,-21.002063905950287,-0.4884200908360532,0.2975995790031705
top_winner,5,41,-25.797412716543494,-0.6292051882083779,0.1372222447339884
worst_loser,1,45,-10.05466069486967,-0.2234369043304371,0.6505112607629466
worst_loser,3,43,-7.746049781922599,-0.18014069260285115,0.707265596513985
worst_loser,5,41,-5.509901773204547,-0.13438784812694016,0.7725518364740438
