time_bucket,gross_trades,gross_wins,gross_losses,gross_flats,gross_total_R,gross_expectancy_R,gross_profit_factor,gross_max_drawdown_R,net_5bps_trades,net_5bps_wins,net_5bps_losses,net_5bps_flats,net_5bps_total_R,net_5bps_expectancy_R,net_5bps_profit_factor,net_5bps_max_drawdown_R,mean_cost_R_5bps,median_cost_R_5bps,median_holding_minutes
MID,12,4,8,0,2.2222434188283486,0.18518695156902906,1.4021604696711918,2.9863259131551843,12,4,8,0,1.1198625429986904,0.0933218785832242,1.1744381908007129,3.3751565452494265,0.09186507298580486,0.09614332783576729,36.5
OPEN,34,5,29,0,-8.259600196915597,-0.2429294175563411,0.5887919302164879,14.560620718373208,34,5,29,0,-12.30531090910124,-0.36192090909121294,0.4759369038146137,17.62379354994988,0.11899149153487182,0.12412020557412268,37.0
