family,representative_definition,verdict,economic_classification,n_dedup_events,n_symbols,n_days,effect_surface_instability,excess_15m,ci_low_15m,ci_high_15m,excess_30m,ci_low_30m,ci_high_30m,excess_60m,ci_low_60m,ci_high_60m,excess_120m,ci_low_120m,ci_high_120m,top1_symbol_share,top3_symbol_share,best_day_share,events_per_week
F1 Multi-Hour Trend,trend60_slope_consistent,WEAK_SIGNAL,ECONOMICALLY_TOO_SMALL,5544,35,63,True,0.014618293493606865,-0.006248871538838478,0.03555058339802251,-0.01570038010466955,-0.04669101040314636,0.013096222046617643,-0.061245968118430576,-0.10394588557600348,-0.02218113807122149,-0.08856524548677693,-0.13706556593180227,-0.03899839065738801,0.04599938352402088,0.13559461453944213,0.0316214206162774,447.1
F2 Structural Pullback,pullback_toward_vwap_holds,WEAK_SIGNAL,POTENTIALLY_TRADEABLE,7481,35,63,True,0.022692617959439026,0.005262420220118405,0.039033632124308104,-0.011220015857402444,-0.03521382708052688,0.015227258784349409,-0.10083964264869275,-0.13653119827989435,-0.0623192368965458,-0.09206139288198523,-0.1287382645056604,-0.053897340868020296,0.0557656420164042,0.16587037722790474,0.0299129637662826,603.3
F3 Range Expansion,compression90_expansion10_2.5x,WEAK_SIGNAL,STRONG_EFFECT,76,24,32,True,-0.009756903774030545,-0.14050983819455024,0.14052248228690425,0.12403848068104026,-0.025280696589289713,0.28414554524338903,0.2582115135378562,0.06767111195906109,0.5146572541028253,0.17229860799858052,-0.02518402932717088,0.4565101276546673,0.16652653132338452,0.41166525977240825,0.3026515676746269,6.1
F4 Relative Strength,rs_trailing_60m,WEAK_SIGNAL,ECONOMICALLY_TOO_SMALL,2208,35,32,False,0.027643562715629292,0.005367919066111556,0.05180481119224302,0.06383292522317943,0.03136765871326017,0.09821680847545658,0.06363363622723484,0.02552546951610033,0.10431061885810404,0.06999264660247274,0.02272139452189442,0.11793751477040132,0.06195548347874333,0.18085913785035926,0.08298715028323825,175.2
F5 Compression->Expansion,relative_narrow_range_15v90,PHENOMENON_NOT_OBSERVED,ECONOMICALLY_TOO_SMALL,5811,35,63,True,0.004438150683658835,-0.016708878785644875,0.023158497646734243,0.0036551290463884725,-0.01965295588277018,0.02610152547851472,-0.03933045831630603,-0.0743499909722573,-0.00711891582742936,-0.032240509748623344,-0.06812486898740144,0.004056586691202933,0.052586234539731116,0.14443566286477627,0.03194528505191834,468.6
F6 Opening->Later,opening_return_magnitude,PHENOMENON_PRESENT,POTENTIALLY_TRADEABLE,735,35,63,False,-0.0760344547929987,-0.14427475496159212,-0.004685634949720232,-0.049558992538310136,-0.1489936403246939,0.04902721472666895,-0.15608749334732078,-0.28383445757557585,-0.030570431642388637,-0.17445348934865554,-0.30261424191443276,-0.04275333813557849,0.0926237082918922,0.2439133208468251,0.0746727079891233,59.3
