holding_bucket,family,trades,total_R_0bps,expectancy_R_0bps,total_R_5bps,expectancy_R_5bps
LONG_GT_60M,MACD,26,14.158470637705502,0.5445565629886732,7.518166885306577,0.28916026481948376
LONG_GT_60M,RSI,21,65.04844565786328,3.097545031326823,58.904116585015885,2.804957932619804
MEDIUM_15_60M,MACD,19,-5.426038590143638,-0.2855809784286125,-10.63296069080237,-0.55962951004223
MEDIUM_15_60M,RSI,10,-5.269933370931598,-0.5269933370931599,-8.240155902001796,-0.8240155902001796
SHORT_LE_15M,MACD,22,-22.0,-1.0,-50.03032419205331,-2.274105645093332
SHORT_LE_15M,RSI,25,-25.0,-1.0,-34.817646495478556,-1.3927058598191422
