scope,family,trades_0bps,wins_0bps,losses_0bps,win_rate_0bps,total_R_0bps,expectancy_R_0bps,median_R_0bps,profit_factor_0bps,total_R_5bps,expectancy_R_5bps,profit_factor_5bps
T53,RSI,17,4,13,0.23529411764705882,6.205053729136223,0.3650031605374249,-1.0,1.4773118253181712,0.5431955058463407,0.03195267681449063,1.0310769052850093
T53,MACD,17,6,11,0.35294117647058826,-5.784175782633765,-0.3402456342725744,-1.0,0.4281643893396499,-11.852831356400852,-0.6972253739059324,0.24433860254270465
T54,RSI,39,15,24,0.38461538461538464,28.573458557795476,0.7326527835332174,-1.0,2.1905607732414776,15.303118681689192,0.3923876585048511,1.461919131406984
T54,MACD,50,15,35,0.3,-7.483392169804373,-0.14966784339608746,-1.0,0.7756550273613168,-41.29228664114824,-0.8258457328229647,0.35173856859863095
COMBINED,RSI,56,19,37,0.3392857142857143,34.778512286931694,0.6210448622666374,-1.0,1.9399597915386946,15.846314187535532,0.2829698962059916,1.3131156301599343
COMBINED,MACD,67,21,46,0.31343283582089554,-13.267567952438135,-0.19802340227519605,-1.0,0.6948001078275992,-53.14511799754909,-0.7932107163813298,0.33051711564236125
