family,exit_reason,count,pct_family,total_R_0bps,expectancy_R_0bps,total_R_5bps,expectancy_R_5bps,median_holding_minutes
MACD,END_OF_SESSION,18,26.865671641791046,19.019760322766935,1.0566533512648297,15.381003531492157,0.8545001961940087,98.5
MACD,SIGNAL_EXIT,6,8.955223880597014,8.096319523537051,1.3493865872561752,7.28989297888665,1.214982163147775,101.5
MACD,STOP,42,62.6865671641791,-42.0,-1.0,-77.37022205509773,-1.8421481441689935,12.0
MACD,TARGET,1,1.492537313432836,1.6163522012578773,1.6163522012578773,1.5542075471698265,1.5542075471698265,25.0
RSI,END_OF_SESSION,11,19.642857142857142,42.03569212887944,3.821426557170858,38.50439830205938,3.5003998456417618,169.0
RSI,SIGNAL_EXIT,8,14.285714285714286,29.742820158052258,3.717852519756532,27.95042169351109,3.493802711688886,121.5
RSI,STOP,37,66.07142857142857,-37.0,-1.0,-50.60850580803493,-1.3677974542712144,9.0
