event_id,symbol,timestamp,direction,horizon_label,horizon_minutes,bars_observed,forward_return_pct,forward_return_signed_pct,favorable_excursion_pct,adverse_excursion_pct,bounded_by_session_close,definition
rs_trailing_30m_000000,AAPL,2026-07-01 14:17:00+00:00,1,15m,15,15,0.20324508966696064,0.20324508966696064,0.24932536293765548,0.2801024765157961,False,rs_trailing_30m
rs_trailing_30m_000000,AAPL,2026-07-01 14:17:00+00:00,1,30m,30,30,0.5243381725021434,0.5243381725021434,0.7139197267292827,0.2801024765157961,False,rs_trailing_30m
rs_trailing_30m_000000,AAPL,2026-07-01 14:17:00+00:00,1,60m,60,60,0.8266438941076059,0.8266438941076059,0.905209222886414,0.2801024765157961,False,rs_trailing_30m
rs_trailing_30m_000000,AAPL,2026-07-01 14:17:00+00:00,1,120m,120,120,0.7924850555081103,0.7924850555081103,1.311699402220316,0.2801024765157961,False,rs_trailing_30m
rs_trailing_30m_000001,AAPL,2026-07-01 14:41:00+00:00,1,15m,15,15,0.3401823377330249,0.3401823377330249,0.3605932779970072,0.17349299224383963,False,rs_trailing_30m
rs_trailing_30m_000001,AAPL,2026-07-01 14:41:00+00:00,1,30m,30,30,0.275547693563751,0.275547693563751,0.4728534494489193,0.17349299224383963,False,rs_trailing_30m
rs_trailing_30m_000001,AAPL,2026-07-01 14:41:00+00:00,1,60m,60,60,0.4065178935909625,0.4065178935909625,0.894679548237854,0.17349299224383963,False,rs_trailing_30m
rs_trailing_30m_000001,AAPL,2026-07-01 14:41:00+00:00,1,120m,120,120,0.2296230779697957,0.2296230779697957,0.894679548237854,0.17349299224383963,False,rs_trailing_30m
rs_trailing_30m_000002,AAPL,2026-07-01 18:31:00+00:00,1,15m,15,15,0.11353430600036588,0.11353430600036588,0.15759239489603138,0.11692338976156795,False,rs_trailing_30m
rs_trailing_30m_000002,AAPL,2026-07-01 18:31:00+00:00,1,30m,30,30,-0.08133801026892688,-0.08133801026892688,0.15759239489603138,0.13725789232879965,False,rs_trailing_30m
rs_trailing_30m_000002,AAPL,2026-07-01 18:31:00+00:00,1,60m,60,60,-0.26943215901581546,-0.26943215901581546,0.15759239489603138,0.3761882974937772,False,rs_trailing_30m
rs_trailing_30m_000002,AAPL,2026-07-01 18:31:00+00:00,1,120m,120,89,-0.27621032653821964,-0.27621032653821964,0.1643705624184548,0.44563062376087403,True,rs_trailing_30m
rs_trailing_30m_000003,AAPL,2026-07-02 14:00:00+00:00,1,15m,15,15,0.34355269630557644,0.34355269630557644,0.6045457053270026,0.023555444991412364,False,rs_trailing_30m
rs_trailing_30m_000003,AAPL,2026-07-02 14:00:00+00:00,1,30m,30,30,0.7796422809996227,0.7796422809996227,0.8688424233233993,0.023555444991412364,False,rs_trailing_30m
rs_trailing_30m_000003,AAPL,2026-07-02 14:00:00+00:00,1,60m,60,60,1.3835602816213723,1.3835602816213723,1.4370803670156533,0.023555444991412364,False,rs_trailing_30m
rs_trailing_30m_000003,AAPL,2026-07-02 14:00:00+00:00,1,120m,120,120,0.9696055470595264,0.9696055470595264,1.6947696670621275,0.023555444991412364,False,rs_trailing_30m
rs_trailing_30m_000004,AAPL,2026-07-02 16:15:00+00:00,1,15m,15,15,0.1560417411657493,0.1560417411657493,0.27307304704007507,0.21455739410293065,False,rs_trailing_30m
